6526,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between # and # and dec between # and # AND flags & dbo.fPhotoFlags(&&&) = # and clean = #"
2019-12-18 18:19:00,14
2019-12-18 18:20:00,21
2019-12-18 18:21:00,20
2019-12-18 18:22:00,22
2019-12-18 18:23:00,22
2019-12-18 18:24:00,22
2019-12-18 18:25:00,26
2019-12-18 18:26:00,15
2019-12-18 18:27:00,27
2019-12-18 18:28:00,20
2019-12-18 18:29:00,28
2019-12-18 18:30:00,27
2019-12-18 18:31:00,25
2019-12-18 18:32:00,23
2019-12-18 18:33:00,22
2019-12-18 18:34:00,20
2019-12-18 18:35:00,21
2019-12-18 18:36:00,18
2019-12-18 18:37:00,16
2019-12-18 18:38:00,17
2019-12-18 18:39:00,20
2019-12-18 18:40:00,14
2019-12-18 18:41:00,21
2019-12-18 18:42:00,21
2019-12-18 18:43:00,21
2019-12-18 18:44:00,10
2019-12-18 18:45:00,21
2019-12-18 18:46:00,22
2019-12-18 18:47:00,24
2019-12-18 18:48:00,18
2019-12-18 18:49:00,26
2019-12-18 18:50:00,27
2019-12-18 18:51:00,22
2019-12-18 18:52:00,26
2019-12-18 18:53:00,20
2019-12-18 18:54:00,34
2019-12-18 18:55:00,38
2019-12-18 18:56:00,33
2019-12-18 18:57:00,35
2019-12-18 18:58:00,40
2019-12-18 18:59:00,52
2019-12-18 19:00:00,51
2019-12-18 19:01:00,54
2019-12-18 19:02:00,53
2019-12-18 19:03:00,54
2019-12-18 19:04:00,47
2019-12-18 19:05:00,51
2019-12-18 19:06:00,37
2019-12-18 19:07:00,36
2019-12-18 19:08:00,25
2019-12-18 19:09:00,11
2019-12-18 19:10:00,16
2019-12-18 19:11:00,12
2019-12-18 19:12:00,21
2019-12-18 19:13:00,18
2019-12-18 19:14:00,19
2019-12-18 19:15:00,18
2019-12-18 19:16:00,22
2019-12-18 19:17:00,21
2019-12-18 19:18:00,21
2019-12-18 19:19:00,22
2019-12-18 19:20:00,25
2019-12-18 19:21:00,23
2019-12-18 19:22:00,21
2019-12-18 19:23:00,13
2019-12-18 19:24:00,14
2019-12-18 19:25:00,15
2019-12-18 19:26:00,11
2019-12-18 19:27:00,17
2019-12-18 19:28:00,12
2019-12-18 19:29:00,11
2019-12-18 19:30:00,12
2019-12-18 19:31:00,14
2019-12-18 19:32:00,13
2019-12-18 19:33:00,11
2019-12-18 19:34:00,14
2019-12-18 19:35:00,10
2019-12-18 19:36:00,15
2019-12-18 19:37:00,14
2019-12-18 19:38:00,13
2019-12-18 19:39:00,13
2019-12-18 19:40:00,17
2019-12-18 19:41:00,17
2019-12-18 19:42:00,13
2019-12-18 19:43:00,16
2019-12-18 19:44:00,16
2019-12-18 19:45:00,17
2019-12-18 19:46:00,15
2019-12-18 19:47:00,17
2019-12-18 19:48:00,16
2019-12-18 19:49:00,14
2019-12-18 19:50:00,13
2019-12-18 19:51:00,14
2019-12-18 19:52:00,15
2019-12-18 19:53:00,12
2019-12-18 19:54:00,16
2019-12-18 19:55:00,12
2019-12-18 19:56:00,11
2019-12-18 19:57:00,13
2019-12-18 19:58:00,16
2019-12-18 19:59:00,14
2019-12-18 20:00:00,14
2019-12-18 20:01:00,13
2019-12-18 20:02:00,23
2019-12-18 20:03:00,15
2019-12-18 20:04:00,17
2019-12-18 20:05:00,13
2019-12-18 20:06:00,14
2019-12-18 20:07:00,14
2019-12-18 20:08:00,13
2019-12-18 20:09:00,18
2019-12-18 20:10:00,11
2019-12-18 20:11:00,15
2019-12-18 20:12:00,14
2019-12-18 20:13:00,16
2019-12-18 20:14:00,16
2019-12-18 20:15:00,20
2019-12-18 20:16:00,18
2019-12-18 20:17:00,18
2019-12-18 20:18:00,18
2019-12-18 20:19:00,25
2019-12-18 20:20:00,19
2019-12-18 20:21:00,21
2019-12-18 20:22:00,22
