1826,"SELECT p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,s.z as redshift, s.zErr, s.zWarning, s.class, s.snMedian  FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra<(#) AND p.ra>(#)  AND p.dec<(#) AND p.dec>(#) AND p.type=# AND s.snMedian>#"
2019-12-18 13:19:00,7
2019-12-18 13:20:00,30
2019-12-18 13:21:00,30
2019-12-18 13:22:00,11
2019-12-18 17:35:00,28
2019-12-18 17:36:00,45
2019-12-18 17:37:00,39
2019-12-18 17:38:00,45
2019-12-18 17:39:00,43
2019-12-18 17:40:00,43
2019-12-18 17:41:00,45
2019-12-18 17:42:00,44
2019-12-18 17:43:00,38
2019-12-18 17:44:00,43
2019-12-18 17:45:00,40
2019-12-18 17:46:00,2
2019-12-18 21:10:00,47
2019-12-18 21:11:00,44
2019-12-18 21:12:00,43
2019-12-18 21:13:00,43
2019-12-18 21:14:00,39
2019-12-18 21:15:00,43
2019-12-18 21:16:00,44
2019-12-18 21:17:00,42
2019-12-18 21:18:00,41
2019-12-18 21:19:00,41
2019-12-18 21:20:00,39
2019-12-18 21:21:00,28
2019-12-18 21:22:00,29
2019-12-18 21:23:00,31
2019-12-18 21:24:00,42
2019-12-18 21:25:00,4
2019-12-18 21:56:00,45
2019-12-18 21:57:00,44
2019-12-18 21:58:00,43
2019-12-18 21:59:00,42
2019-12-18 22:00:00,40
2019-12-18 22:01:00,30
2019-12-18 22:02:00,21
2019-12-18 22:34:00,2
2019-12-18 22:35:00,46
2019-12-18 22:36:00,42
2019-12-18 22:37:00,29
2019-12-18 22:38:00,29
2019-12-18 22:39:00,29
2019-12-18 22:40:00,38
2019-12-18 22:41:00,42
2019-12-18 22:42:00,42
2019-12-18 22:43:00,43
2019-12-18 22:44:00,38
2019-12-18 22:45:00,39
2019-12-18 22:46:00,9
