108,select * from zoo2Stripe8#Coadd2 where dr8objid=#
2019-12-18 14:53:00,1
2019-12-18 15:09:00,4
2019-12-18 15:10:00,7
2019-12-18 15:11:00,5
2019-12-18 15:12:00,3
2019-12-18 15:13:00,1
2019-12-18 15:14:00,2
2019-12-18 15:15:00,3
2019-12-18 15:16:00,3
2019-12-18 15:17:00,4
2019-12-18 15:18:00,2
2019-12-18 15:19:00,3
2019-12-18 15:20:00,3
2019-12-18 15:21:00,3
2019-12-18 15:22:00,4
2019-12-18 15:23:00,3
2019-12-18 15:24:00,4
2019-12-18 15:25:00,7
2019-12-18 15:26:00,3
2019-12-18 15:27:00,3
2019-12-18 15:28:00,3
2019-12-18 15:29:00,4
2019-12-18 15:30:00,4
2019-12-18 15:31:00,3
2019-12-18 15:32:00,3
2019-12-18 15:33:00,5
2019-12-18 15:34:00,3
2019-12-18 15:35:00,3
2019-12-18 15:36:00,3
2019-12-18 15:37:00,4
2019-12-18 15:38:00,5
