59,select * from zooConfidence where objid=#
2019-12-18 02:02:00,1
2019-12-18 04:10:00,1
2019-12-18 08:24:00,1
2019-12-18 09:10:00,1
2019-12-18 13:30:00,1
2019-12-18 15:39:00,3
2019-12-18 15:40:00,3
2019-12-18 15:41:00,3
2019-12-18 15:42:00,2
2019-12-18 15:43:00,3
2019-12-18 15:44:00,3
2019-12-18 15:45:00,3
2019-12-18 15:46:00,4
2019-12-18 15:47:00,4
2019-12-18 15:48:00,4
2019-12-18 15:49:00,4
2019-12-18 15:50:00,4
2019-12-18 15:51:00,3
2019-12-18 15:52:00,4
2019-12-18 15:53:00,2
2019-12-18 15:54:00,4
2019-12-18 15:55:00,1
