579,"select p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z FROM PhotoPrimary AS p WHERE type=# AND ((flags_r & #) != #)AND ((flags_r & #) = #)AND (((flags_r & #) = #) or (psfmagerr_g <= #))AND (((flags_r & #) = #) or (flags_r & #) = #)AND p.ra BETWEEN (#-#) AND (#+#) AND p.dec BETWEEN (#-#) AND (#+#) ORDER BY p.objid"
2019-12-18 19:08:00,1
2019-12-18 19:12:00,59
2019-12-18 19:13:00,37
2019-12-18 19:14:00,53
2019-12-18 19:15:00,43
2019-12-18 19:16:00,46
2019-12-18 19:17:00,23
2019-12-18 19:18:00,16
2019-12-18 19:19:00,6
2019-12-18 19:20:00,6
2019-12-18 23:39:00,70
2019-12-18 23:40:00,40
2019-12-18 23:41:00,58
2019-12-18 23:42:00,44
2019-12-18 23:43:00,39
2019-12-18 23:44:00,19
2019-12-18 23:45:00,12
2019-12-18 23:46:00,7
