100,"select [enum], [name], [type], [length], [unit], [ucd], [description] from dbo.fDocColumns(&&&) ORDER BY [columnID]"
2019-12-18 01:20:00,1
2019-12-18 02:18:00,1
2019-12-18 02:20:00,1
2019-12-18 02:35:00,1
2019-12-18 02:36:00,1
2019-12-18 02:37:00,1
2019-12-18 02:38:00,1
2019-12-18 02:42:00,1
2019-12-18 02:45:00,1
2019-12-18 02:46:00,1
2019-12-18 02:55:00,1
2019-12-18 03:06:00,1
2019-12-18 03:09:00,1
2019-12-18 03:17:00,1
2019-12-18 03:19:00,1
2019-12-18 03:20:00,1
2019-12-18 03:24:00,2
2019-12-18 03:26:00,1
2019-12-18 03:35:00,1
2019-12-18 03:38:00,2
2019-12-18 03:40:00,1
2019-12-18 03:49:00,1
2019-12-18 03:50:00,2
2019-12-18 04:10:00,1
2019-12-18 04:11:00,2
2019-12-18 04:19:00,1
2019-12-18 04:20:00,1
2019-12-18 04:22:00,1
2019-12-18 04:29:00,1
2019-12-18 04:30:00,2
2019-12-18 04:59:00,2
2019-12-18 05:15:00,1
2019-12-18 05:33:00,1
2019-12-18 05:36:00,1
2019-12-18 05:49:00,1
2019-12-18 06:11:00,1
2019-12-18 06:24:00,2
2019-12-18 06:32:00,1
2019-12-18 06:35:00,1
2019-12-18 07:00:00,1
2019-12-18 07:03:00,1
2019-12-18 07:22:00,1
2019-12-18 07:25:00,1
2019-12-18 08:06:00,1
2019-12-18 08:26:00,1
2019-12-18 08:27:00,3
2019-12-18 08:29:00,2
2019-12-18 08:30:00,1
2019-12-18 08:31:00,1
2019-12-18 08:32:00,2
2019-12-18 08:35:00,1
2019-12-18 09:12:00,1
2019-12-18 09:13:00,1
2019-12-18 10:00:00,1
2019-12-18 10:45:00,1
2019-12-18 10:50:00,1
2019-12-18 12:04:00,1
2019-12-18 12:48:00,1
2019-12-18 13:08:00,1
2019-12-18 13:26:00,1
2019-12-18 13:41:00,1
2019-12-18 13:42:00,2
2019-12-18 13:43:00,2
2019-12-18 13:44:00,3
2019-12-18 14:51:00,1
2019-12-18 15:02:00,1
2019-12-18 15:06:00,1
2019-12-18 15:08:00,1
2019-12-18 15:41:00,1
2019-12-18 15:42:00,3
2019-12-18 15:43:00,1
2019-12-18 15:55:00,1
2019-12-18 16:05:00,2
2019-12-18 16:13:00,1
2019-12-18 16:16:00,2
2019-12-18 16:19:00,1
2019-12-18 17:30:00,1
2019-12-18 19:45:00,1
2019-12-18 20:22:00,1
2019-12-18 23:42:00,1
2019-12-18 23:52:00,1
