198,select * from PhotozRF where objid=#
2019-12-18 00:00:00,1
2019-12-18 00:21:00,2
2019-12-18 00:35:00,1
2019-12-18 00:40:00,1
2019-12-18 00:41:00,1
2019-12-18 00:44:00,1
2019-12-18 01:02:00,1
2019-12-18 01:05:00,1
2019-12-18 01:09:00,1
2019-12-18 01:13:00,1
2019-12-18 01:31:00,1
2019-12-18 01:45:00,3
2019-12-18 01:47:00,1
2019-12-18 01:50:00,1
2019-12-18 01:51:00,1
2019-12-18 02:25:00,1
2019-12-18 02:40:00,1
2019-12-18 03:06:00,1
2019-12-18 03:29:00,1
2019-12-18 04:06:00,1
2019-12-18 04:10:00,1
2019-12-18 04:16:00,1
2019-12-18 04:27:00,1
2019-12-18 04:30:00,1
2019-12-18 04:50:00,1
2019-12-18 04:58:00,1
2019-12-18 05:04:00,2
2019-12-18 05:10:00,1
2019-12-18 05:14:00,1
2019-12-18 05:17:00,3
2019-12-18 05:26:00,1
2019-12-18 05:27:00,1
2019-12-18 05:29:00,1
2019-12-18 05:31:00,2
2019-12-18 05:36:00,1
2019-12-18 05:37:00,1
2019-12-18 05:40:00,1
2019-12-18 05:41:00,1
2019-12-18 05:43:00,1
2019-12-18 05:44:00,1
2019-12-18 05:55:00,1
2019-12-18 05:57:00,1
2019-12-18 06:02:00,3
2019-12-18 06:04:00,1
2019-12-18 06:05:00,1
2019-12-18 06:07:00,1
2019-12-18 06:14:00,1
2019-12-18 06:30:00,1
2019-12-18 06:37:00,2
2019-12-18 06:38:00,1
2019-12-18 06:40:00,1
2019-12-18 06:41:00,4
2019-12-18 06:53:00,1
2019-12-18 06:56:00,1
2019-12-18 06:59:00,1
2019-12-18 07:04:00,1
2019-12-18 07:11:00,1
2019-12-18 07:35:00,1
2019-12-18 07:44:00,1
2019-12-18 07:52:00,3
2019-12-18 08:01:00,1
2019-12-18 08:05:00,1
2019-12-18 08:08:00,1
2019-12-18 08:14:00,2
2019-12-18 08:30:00,1
2019-12-18 08:38:00,1
2019-12-18 08:42:00,1
2019-12-18 08:46:00,1
2019-12-18 08:56:00,1
2019-12-18 09:07:00,1
2019-12-18 09:14:00,2
2019-12-18 09:17:00,1
2019-12-18 09:32:00,1
2019-12-18 09:36:00,1
2019-12-18 09:40:00,1
2019-12-18 09:45:00,2
2019-12-18 09:48:00,1
2019-12-18 09:53:00,2
2019-12-18 09:54:00,1
2019-12-18 10:05:00,1
2019-12-18 10:09:00,1
2019-12-18 10:15:00,1
2019-12-18 10:24:00,1
2019-12-18 10:29:00,1
2019-12-18 10:34:00,1
2019-12-18 10:40:00,1
2019-12-18 10:41:00,5
2019-12-18 10:46:00,1
2019-12-18 10:52:00,1
2019-12-18 10:57:00,1
2019-12-18 11:01:00,1
2019-12-18 11:11:00,1
2019-12-18 11:19:00,1
2019-12-18 11:21:00,1
2019-12-18 11:32:00,1
2019-12-18 11:33:00,1
2019-12-18 11:37:00,2
2019-12-18 11:54:00,1
2019-12-18 12:02:00,1
2019-12-18 12:09:00,1
2019-12-18 12:16:00,1
2019-12-18 12:35:00,1
2019-12-18 12:38:00,1
2019-12-18 12:41:00,1
2019-12-18 12:45:00,2
2019-12-18 12:47:00,1
2019-12-18 13:11:00,1
2019-12-18 13:24:00,2
2019-12-18 13:28:00,1
2019-12-18 13:30:00,1
2019-12-18 13:31:00,1
2019-12-18 13:37:00,1
2019-12-18 13:46:00,1
2019-12-18 13:49:00,4
2019-12-18 13:50:00,1
2019-12-18 13:59:00,1
2019-12-18 14:15:00,1
2019-12-18 14:25:00,11
2019-12-18 14:26:00,11
2019-12-18 14:29:00,1
2019-12-18 14:32:00,1
2019-12-18 14:45:00,2
2019-12-18 19:00:00,1
2019-12-18 19:06:00,1
2019-12-18 19:29:00,1
2019-12-18 19:40:00,1
2019-12-18 20:36:00,1
2019-12-18 20:42:00,1
2019-12-18 20:44:00,1
2019-12-18 21:04:00,1
2019-12-18 21:09:00,1
2019-12-18 21:14:00,1
2019-12-18 21:16:00,1
2019-12-18 21:28:00,1
2019-12-18 21:39:00,1
2019-12-18 21:42:00,1
2019-12-18 21:53:00,1
2019-12-18 21:55:00,1
2019-12-18 22:04:00,1
2019-12-18 22:16:00,1
2019-12-18 22:24:00,1
2019-12-18 22:37:00,1
2019-12-18 22:38:00,1
2019-12-18 22:46:00,1
2019-12-18 23:02:00,1
2019-12-18 23:17:00,1
2019-12-18 23:18:00,1
2019-12-18 23:54:00,1
