6768,"SELECT  objid,ra,dec,u,g,r,i,z FROM PhotoObj WHERE  ra<(#) AND ra>(#)  AND dec<(#) AND dec>(#)  AND type=#"
2019-12-18 16:58:00,20
2019-12-18 16:59:00,57
2019-12-18 17:00:00,54
2019-12-18 17:01:00,55
2019-12-18 17:02:00,59
2019-12-18 17:03:00,54
2019-12-18 17:04:00,60
2019-12-18 17:05:00,63
2019-12-18 17:06:00,63
2019-12-18 17:07:00,62
2019-12-18 17:08:00,57
2019-12-18 17:09:00,60
2019-12-18 17:10:00,59
2019-12-18 17:11:00,46
2019-12-18 17:12:00,41
2019-12-18 17:13:00,19
2019-12-18 17:14:00,29
2019-12-18 17:15:00,44
2019-12-18 17:16:00,45
2019-12-18 17:17:00,45
2019-12-18 17:18:00,42
2019-12-18 17:19:00,42
2019-12-18 17:20:00,43
2019-12-18 17:21:00,46
2019-12-18 17:22:00,43
2019-12-18 17:23:00,43
2019-12-18 17:24:00,41
2019-12-18 17:25:00,32
2019-12-18 17:26:00,40
2019-12-18 17:27:00,45
2019-12-18 17:28:00,50
2019-12-18 17:29:00,47
2019-12-18 17:30:00,46
2019-12-18 17:31:00,54
2019-12-18 17:32:00,47
2019-12-18 17:50:00,4
2019-12-18 17:51:00,14
2019-12-18 17:53:00,47
2019-12-18 17:54:00,77
2019-12-18 17:55:00,14
2019-12-18 20:41:00,59
2019-12-18 20:42:00,77
2019-12-18 20:43:00,77
2019-12-18 20:44:00,76
2019-12-18 20:45:00,80
2019-12-18 20:46:00,75
2019-12-18 20:47:00,79
2019-12-18 20:48:00,71
2019-12-18 20:49:00,77
2019-12-18 20:50:00,61
2019-12-18 20:51:00,52
2019-12-18 20:52:00,34
2019-12-18 20:53:00,20
2019-12-18 20:54:00,41
2019-12-18 20:55:00,46
2019-12-18 20:56:00,47
2019-12-18 20:57:00,48
2019-12-18 20:58:00,47
2019-12-18 20:59:00,49
2019-12-18 21:00:00,50
2019-12-18 21:01:00,42
2019-12-18 21:02:00,47
2019-12-18 21:03:00,48
2019-12-18 21:04:00,49
2019-12-18 21:05:00,53
2019-12-18 21:06:00,54
2019-12-18 21:07:00,58
2019-12-18 21:08:00,59
2019-12-18 21:09:00,77
2019-12-18 21:25:00,16
2019-12-18 21:26:00,67
2019-12-18 21:27:00,67
2019-12-18 21:28:00,66
2019-12-18 21:29:00,71
2019-12-18 21:30:00,62
2019-12-18 21:31:00,71
2019-12-18 21:32:00,79
2019-12-18 21:33:00,80
2019-12-18 21:34:00,72
2019-12-18 21:35:00,68
2019-12-18 21:36:00,57
2019-12-18 21:37:00,20
2019-12-18 21:38:00,23
2019-12-18 21:39:00,20
2019-12-18 21:40:00,40
2019-12-18 21:41:00,44
2019-12-18 21:42:00,47
2019-12-18 21:43:00,45
2019-12-18 21:44:00,48
2019-12-18 21:45:00,48
2019-12-18 21:46:00,49
2019-12-18 21:47:00,47
2019-12-18 21:48:00,44
2019-12-18 21:49:00,50
2019-12-18 21:50:00,47
2019-12-18 21:51:00,54
2019-12-18 21:52:00,60
2019-12-18 21:53:00,54
2019-12-18 21:54:00,56
2019-12-18 21:55:00,78
2019-12-18 21:56:00,3
2019-12-18 22:06:00,64
2019-12-18 22:07:00,70
2019-12-18 22:08:00,63
2019-12-18 22:09:00,75
2019-12-18 22:10:00,80
2019-12-18 22:11:00,80
2019-12-18 22:12:00,82
2019-12-18 22:13:00,67
2019-12-18 22:14:00,66
2019-12-18 22:15:00,72
2019-12-18 22:16:00,56
2019-12-18 22:17:00,40
2019-12-18 22:18:00,15
2019-12-18 22:19:00,31
2019-12-18 22:20:00,48
2019-12-18 22:21:00,49
2019-12-18 22:22:00,48
2019-12-18 22:23:00,46
2019-12-18 22:24:00,50
2019-12-18 22:25:00,50
2019-12-18 22:26:00,48
2019-12-18 22:27:00,47
2019-12-18 22:28:00,48
2019-12-18 22:29:00,52
2019-12-18 22:30:00,53
2019-12-18 22:31:00,60
2019-12-18 22:32:00,57
2019-12-18 22:33:00,60
2019-12-18 22:34:00,76
