21,select top # * from galaxy
2019-12-18 00:20:00,1
2019-12-18 01:46:00,1
2019-12-18 02:35:00,1
2019-12-18 03:05:00,1
2019-12-18 03:53:00,1
2019-12-18 04:28:00,1
2019-12-18 06:15:00,1
2019-12-18 07:51:00,1
2019-12-18 08:30:00,1
2019-12-18 09:18:00,1
2019-12-18 09:58:00,1
2019-12-18 11:12:00,1
2019-12-18 13:07:00,1
2019-12-18 13:18:00,1
2019-12-18 14:21:00,1
2019-12-18 18:03:00,1
2019-12-18 18:15:00,1
2019-12-18 18:24:00,1
2019-12-18 21:58:00,1
2019-12-18 22:42:00,1
2019-12-18 23:50:00,1
