15,"select p.ra, p.dec, p.g, p.Err_g from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_g <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-03-14 05:47:00,1
2019-03-14 05:55:00,1
2019-03-14 08:49:00,1
2019-03-14 09:06:00,1
2019-03-14 09:56:00,1
2019-03-14 10:29:00,1
2019-03-14 10:46:00,1
2019-03-14 11:19:00,1
2019-03-14 13:48:00,1
2019-03-14 15:38:00,1
2019-03-14 15:41:00,1
2019-03-14 16:50:00,1
2019-03-14 19:04:00,3
