62,select objid from photoprimary where photoprimary.dec between -.# and .# and photoprimary.ra between # and #
2019-03-14 03:03:00,2
2019-03-14 05:31:00,2
2019-03-14 06:13:00,2
2019-03-14 06:14:00,5
2019-03-14 06:44:00,1
2019-03-14 06:45:00,9
2019-03-14 08:18:00,1
2019-03-14 08:24:00,4
2019-03-14 08:25:00,2
2019-03-14 08:27:00,1
2019-03-14 08:38:00,2
2019-03-14 08:39:00,2
2019-03-14 08:41:00,1
2019-03-14 08:44:00,1
2019-03-14 09:10:00,1
2019-03-14 09:42:00,8
2019-03-14 09:44:00,7
2019-03-14 10:25:00,10
2019-03-14 11:00:00,1
