19,"select p.ra, p.dec, p.i, p.Err_i from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_i <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-03-14 05:46:00,1
2019-03-14 05:55:00,1
2019-03-14 08:35:00,1
2019-03-14 08:52:00,1
2019-03-14 09:09:00,1
2019-03-14 10:15:00,1
2019-03-14 10:32:00,1
2019-03-14 10:48:00,1
2019-03-14 11:21:00,1
2019-03-14 11:54:00,1
2019-03-14 13:51:00,1
2019-03-14 15:27:00,1
2019-03-14 15:41:00,1
2019-03-14 15:42:00,1
2019-03-14 15:43:00,1
2019-03-14 16:53:00,1
2019-03-14 19:04:00,3
