33,"SELECT DISTINCT p.ra, p.dec, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-14 14:15:00,11
2019-03-14 14:16:00,11
2019-03-14 14:17:00,11
