118,"select count(*) as count from galaxy p, dbo.fgetNearByObjEq(#,#,#) n where p.objid=n.objid"
2019-03-14 01:25:00,1
2019-03-14 01:26:00,3
2019-03-14 01:27:00,2
2019-03-14 01:29:00,2
2019-03-14 01:31:00,6
2019-03-14 01:32:00,3
2019-03-14 01:35:00,1
2019-03-14 01:36:00,6
2019-03-14 01:37:00,4
2019-03-14 01:38:00,4
2019-03-14 01:39:00,1
2019-03-14 01:40:00,1
2019-03-14 01:41:00,2
2019-03-14 01:42:00,2
2019-03-14 01:43:00,5
2019-03-14 01:44:00,7
2019-03-14 01:45:00,4
2019-03-14 01:46:00,4
2019-03-14 01:47:00,2
2019-03-14 01:48:00,2
2019-03-14 05:33:00,1
2019-03-14 05:34:00,3
2019-03-14 05:35:00,1
2019-03-14 05:36:00,2
2019-03-14 05:37:00,2
2019-03-14 05:38:00,2
2019-03-14 05:39:00,2
2019-03-14 05:40:00,3
2019-03-14 05:41:00,2
2019-03-14 05:42:00,3
2019-03-14 05:43:00,3
2019-03-14 05:44:00,2
2019-03-14 05:45:00,1
2019-03-14 16:55:00,3
2019-03-14 16:56:00,4
2019-03-14 16:57:00,2
2019-03-14 17:03:00,3
2019-03-14 17:04:00,4
2019-03-14 17:05:00,4
2019-03-14 17:06:00,1
2019-03-14 17:07:00,5
2019-03-14 17:08:00,3
