59,"SELECT  sp.ra, sp.dec, sp.z as redshift,  sp.modelMag_g as g, sp.modelMagerr_g as err_g,   sp.modelMag_i as i, sp.modelMagerr_i as err_i,  gs.h_alpha_eqw, gs.oii_#_eqw,  p.aperFlux7_g, p.aperFlux7Ivar_g as var_g,  p.aperFlux7_i, p.aperFlux7Ivar_i as var_i    FROM GalSpecLine AS gs   JOIN SpecPhoto AS sp ON sp.specobjid = gs.specobjid   JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS GN  ON GN.specobjID = gs.specobjid  JOIN Galaxy as gal ON gal.specobjId = gs.specobjid  JOIN PhotoObjAll as p ON p.specObjId = gs.specobjID    WHERE   h_alpha_eqw between # and #  and oii_#_eqw between # and #  and sp.modelMag_g-sp.modelMag_i between # and #   and sp.z between # and #  and sp.modelMag_i-#*log1#(#E+#*sp.z) < #"
2019-03-14 22:04:00,1
2019-03-14 22:07:00,1
2019-03-14 22:12:00,1
2019-03-14 22:23:00,1
2019-03-14 22:26:00,1
2019-03-14 22:46:00,1
2019-03-14 22:48:00,1
2019-03-14 22:49:00,1
2019-03-14 22:50:00,1
2019-03-14 22:51:00,1
2019-03-14 22:52:00,2
2019-03-14 22:53:00,2
2019-03-14 22:54:00,2
2019-03-14 22:55:00,3
2019-03-14 22:56:00,1
2019-03-14 22:57:00,2
2019-03-14 22:58:00,3
2019-03-14 22:59:00,2
2019-03-14 23:00:00,1
2019-03-14 23:01:00,2
2019-03-14 23:02:00,1
2019-03-14 23:03:00,1
2019-03-14 23:04:00,1
2019-03-14 23:05:00,2
2019-03-14 23:06:00,2
2019-03-14 23:07:00,2
2019-03-14 23:08:00,1
2019-03-14 23:09:00,2
2019-03-14 23:10:00,2
2019-03-14 23:11:00,1
2019-03-14 23:12:00,2
2019-03-14 23:14:00,1
2019-03-14 23:15:00,1
2019-03-14 23:16:00,1
2019-03-14 23:18:00,1
2019-03-14 23:19:00,2
2019-03-14 23:20:00,2
2019-03-14 23:21:00,2
2019-03-14 23:22:00,2
