169,select objid from photoobjall where photoobjall.dec between -.# and -.# and photoobjall.ra between # and #
2019-03-14 03:16:00,2
2019-03-14 03:17:00,2
2019-03-14 03:19:00,4
2019-03-14 03:35:00,3
2019-03-14 03:38:00,1
2019-03-14 03:41:00,1
2019-03-14 03:45:00,3
2019-03-14 03:47:00,2
2019-03-14 03:49:00,2
2019-03-14 03:50:00,2
2019-03-14 03:55:00,1
2019-03-14 03:56:00,1
2019-03-14 03:57:00,2
2019-03-14 03:59:00,2
2019-03-14 04:00:00,1
2019-03-14 04:01:00,1
2019-03-14 04:04:00,2
2019-03-14 04:05:00,2
2019-03-14 04:06:00,1
2019-03-14 04:07:00,1
2019-03-14 04:08:00,3
2019-03-14 04:12:00,1
2019-03-14 04:13:00,2
2019-03-14 04:14:00,1
2019-03-14 04:17:00,1
2019-03-14 04:21:00,1
2019-03-14 04:35:00,3
2019-03-14 04:41:00,1
2019-03-14 04:47:00,1
2019-03-14 04:53:00,1
2019-03-14 05:02:00,1
2019-03-14 05:03:00,3
2019-03-14 05:09:00,1
2019-03-14 05:11:00,1
2019-03-14 05:12:00,1
2019-03-14 05:15:00,2
2019-03-14 05:16:00,4
2019-03-14 05:19:00,3
2019-03-14 05:21:00,1
2019-03-14 05:22:00,3
2019-03-14 05:24:00,1
2019-03-14 05:25:00,11
2019-03-14 05:26:00,5
2019-03-14 05:27:00,5
2019-03-14 05:28:00,1
2019-03-14 05:29:00,3
2019-03-14 05:44:00,1
2019-03-14 05:50:00,2
2019-03-14 05:51:00,9
2019-03-14 05:52:00,3
2019-03-14 05:57:00,1
2019-03-14 05:59:00,2
2019-03-14 06:07:00,2
2019-03-14 06:08:00,3
2019-03-14 06:09:00,1
2019-03-14 06:10:00,1
2019-03-14 06:15:00,2
2019-03-14 06:16:00,3
2019-03-14 06:17:00,1
2019-03-14 06:21:00,1
2019-03-14 06:22:00,1
2019-03-14 06:25:00,1
2019-03-14 06:26:00,3
2019-03-14 06:27:00,1
2019-03-14 06:28:00,2
2019-03-14 06:42:00,1
2019-03-14 06:44:00,1
2019-03-14 07:25:00,3
2019-03-14 07:29:00,1
2019-03-14 10:08:00,3
2019-03-14 10:13:00,4
2019-03-14 10:14:00,3
2019-03-14 10:16:00,2
2019-03-14 10:17:00,1
2019-03-14 10:19:00,3
2019-03-14 10:20:00,1
2019-03-14 10:21:00,1
2019-03-14 10:22:00,1
2019-03-14 12:54:00,2
2019-03-14 12:56:00,1
2019-03-14 13:48:00,3
2019-03-14 13:49:00,1
