52,"SELECT TOP # s.plate,s.mjd,s.fiberid,s.elodieSpType FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid=p.objid WHERE s.class=&&& AND s.elodieSpType!=&&&"
2019-03-14 19:34:00,1
2019-03-14 19:35:00,1
2019-03-14 19:39:00,4
2019-03-14 19:48:00,4
2019-03-14 19:56:00,2
2019-03-14 19:58:00,1
2019-03-14 20:05:00,1
2019-03-14 20:07:00,6
2019-03-14 20:16:00,4
2019-03-14 20:35:00,1
2019-03-14 20:37:00,10
2019-03-14 20:46:00,4
2019-03-14 20:48:00,1
2019-03-14 20:56:00,1
2019-03-14 20:57:00,2
2019-03-14 20:59:00,1
2019-03-14 21:05:00,4
2019-03-14 21:13:00,1
2019-03-14 21:14:00,2
2019-03-14 21:15:00,1
