1960,select objid from photoprimary where photoprimary.dec between -.# and -.# and photoprimary.ra between # and #
2019-03-14 00:43:00,15
2019-03-14 00:44:00,5
2019-03-14 02:53:00,4
2019-03-14 02:54:00,16
2019-03-14 02:56:00,25
2019-03-14 02:57:00,16
2019-03-14 02:58:00,12
2019-03-14 02:59:00,14
2019-03-14 03:00:00,1
2019-03-14 03:01:00,37
2019-03-14 03:02:00,26
2019-03-14 03:03:00,5
2019-03-14 03:04:00,40
2019-03-14 03:05:00,2
2019-03-14 03:07:00,19
2019-03-14 03:08:00,3
2019-03-14 03:12:00,13
2019-03-14 03:13:00,69
2019-03-14 03:14:00,12
2019-03-14 03:28:00,3
2019-03-14 03:29:00,12
2019-03-14 03:33:00,1
2019-03-14 03:34:00,15
2019-03-14 05:31:00,61
2019-03-14 05:32:00,1
2019-03-14 05:41:00,9
2019-03-14 06:13:00,3
2019-03-14 06:14:00,9
2019-03-14 06:45:00,3
2019-03-14 06:46:00,4
2019-03-14 08:29:00,2
2019-03-14 08:43:00,1
2019-03-14 08:55:00,1
2019-03-14 09:10:00,1
2019-03-14 09:35:00,40
2019-03-14 09:36:00,14
2019-03-14 09:39:00,3
2019-03-14 09:40:00,3
2019-03-14 09:41:00,2
2019-03-14 09:42:00,1
2019-03-14 09:43:00,15
2019-03-14 09:44:00,32
2019-03-14 09:45:00,6
2019-03-14 09:46:00,17
2019-03-14 09:47:00,14
2019-03-14 09:48:00,2
2019-03-14 09:50:00,1
2019-03-14 09:51:00,186
2019-03-14 09:52:00,53
2019-03-14 09:53:00,24
2019-03-14 09:54:00,5
2019-03-14 09:57:00,10
2019-03-14 09:58:00,1
2019-03-14 09:59:00,2
2019-03-14 10:06:00,4
2019-03-14 10:07:00,4
2019-03-14 10:24:00,102
2019-03-14 10:26:00,18
2019-03-14 10:27:00,12
2019-03-14 10:28:00,3
2019-03-14 10:29:00,87
2019-03-14 10:30:00,21
2019-03-14 10:31:00,4
2019-03-14 10:32:00,1
2019-03-14 10:33:00,1
2019-03-14 10:34:00,2
2019-03-14 10:35:00,3
2019-03-14 10:36:00,3
2019-03-14 10:37:00,8
2019-03-14 10:38:00,60
2019-03-14 10:39:00,4
2019-03-14 10:40:00,10
2019-03-14 10:41:00,52
2019-03-14 10:42:00,93
2019-03-14 10:43:00,2
2019-03-14 10:47:00,77
2019-03-14 10:49:00,132
2019-03-14 10:51:00,77
2019-03-14 10:54:00,3
2019-03-14 10:55:00,8
2019-03-14 10:56:00,25
2019-03-14 10:57:00,15
2019-03-14 10:58:00,2
2019-03-14 10:59:00,6
2019-03-14 11:01:00,16
2019-03-14 12:50:00,1
2019-03-14 12:51:00,19
2019-03-14 13:39:00,2
2019-03-14 13:40:00,1
2019-03-14 13:41:00,12
2019-03-14 13:42:00,69
2019-03-14 13:43:00,23
2019-03-14 13:44:00,39
2019-03-14 13:46:00,7
2019-03-14 13:47:00,5
2019-03-14 13:52:00,25
2019-03-14 13:53:00,6
2019-03-14 13:55:00,1
2019-03-14 13:56:00,4
