97,select objid from photoobjall where photoobjall.dec between -.# and # and photoobjall.ra between # and #
2019-03-14 11:03:00,1
2019-03-14 11:05:00,1
2019-03-14 11:08:00,3
2019-03-14 11:09:00,1
2019-03-14 11:10:00,2
2019-03-14 11:12:00,1
2019-03-14 11:14:00,1
2019-03-14 11:15:00,1
2019-03-14 11:16:00,1
2019-03-14 11:18:00,1
2019-03-14 11:19:00,3
2019-03-14 11:20:00,1
2019-03-14 11:22:00,1
2019-03-14 11:23:00,2
2019-03-14 11:27:00,2
2019-03-14 11:28:00,1
2019-03-14 11:32:00,1
2019-03-14 11:33:00,2
2019-03-14 11:35:00,1
2019-03-14 11:36:00,2
2019-03-14 11:37:00,1
2019-03-14 11:38:00,1
2019-03-14 11:40:00,1
2019-03-14 11:41:00,1
2019-03-14 11:43:00,1
2019-03-14 11:44:00,2
2019-03-14 11:46:00,1
2019-03-14 11:50:00,1
2019-03-14 11:52:00,2
2019-03-14 11:55:00,1
2019-03-14 11:57:00,1
2019-03-14 11:58:00,1
2019-03-14 12:02:00,1
2019-03-14 12:03:00,3
2019-03-14 12:04:00,1
2019-03-14 12:05:00,1
2019-03-14 12:07:00,2
2019-03-14 12:08:00,1
2019-03-14 12:10:00,1
2019-03-14 12:11:00,1
2019-03-14 12:13:00,1
2019-03-14 12:14:00,1
2019-03-14 12:15:00,1
2019-03-14 12:16:00,2
2019-03-14 12:18:00,1
2019-03-14 12:20:00,2
2019-03-14 12:22:00,5
2019-03-14 12:25:00,1
2019-03-14 12:26:00,1
2019-03-14 12:27:00,1
2019-03-14 12:28:00,1
2019-03-14 12:30:00,1
2019-03-14 12:32:00,1
2019-03-14 12:33:00,3
2019-03-14 12:34:00,1
2019-03-14 12:38:00,2
2019-03-14 12:42:00,1
2019-03-14 12:43:00,1
2019-03-14 12:46:00,1
2019-03-14 12:47:00,2
2019-03-14 13:13:00,1
2019-03-14 13:15:00,1
2019-03-14 13:16:00,1
2019-03-14 13:17:00,1
2019-03-14 13:19:00,2
2019-03-14 13:21:00,1
2019-03-14 13:23:00,2
2019-03-14 13:24:00,1
2019-03-14 13:25:00,1
2019-03-14 13:27:00,2
