2031,select objid from photoprimary where photoprimary.dec between .# and .# and photoprimary.ra between # and #
2019-03-14 00:40:00,3
2019-03-14 00:44:00,20
2019-03-14 02:54:00,12
2019-03-14 02:55:00,5
2019-03-14 02:56:00,20
2019-03-14 02:57:00,13
2019-03-14 02:58:00,10
2019-03-14 02:59:00,13
2019-03-14 03:00:00,5
2019-03-14 03:01:00,4
2019-03-14 03:02:00,5
2019-03-14 03:03:00,6
2019-03-14 03:04:00,6
2019-03-14 03:08:00,7
2019-03-14 03:12:00,12
2019-03-14 03:13:00,33
2019-03-14 03:14:00,7
2019-03-14 03:19:00,3
2019-03-14 03:28:00,5
2019-03-14 03:29:00,10
2019-03-14 03:30:00,9
2019-03-14 03:33:00,3
2019-03-14 03:34:00,19
2019-03-14 05:40:00,15
2019-03-14 06:14:00,5
2019-03-14 06:45:00,6
2019-03-14 07:49:00,1
2019-03-14 08:50:00,2
2019-03-14 09:34:00,6
2019-03-14 09:35:00,21
2019-03-14 09:36:00,6
2019-03-14 09:37:00,3
2019-03-14 09:39:00,5
2019-03-14 09:40:00,12
2019-03-14 09:41:00,17
2019-03-14 09:42:00,2
2019-03-14 09:43:00,27
2019-03-14 09:44:00,6
2019-03-14 09:45:00,37
2019-03-14 09:46:00,38
2019-03-14 09:47:00,68
2019-03-14 09:48:00,64
2019-03-14 09:50:00,10
2019-03-14 09:52:00,191
2019-03-14 09:53:00,36
2019-03-14 09:54:00,1
2019-03-14 09:58:00,9
2019-03-14 10:07:00,34
2019-03-14 10:23:00,4
2019-03-14 10:24:00,39
2019-03-14 10:25:00,3
2019-03-14 10:26:00,21
2019-03-14 10:27:00,10
2019-03-14 10:28:00,14
2019-03-14 10:29:00,9
2019-03-14 10:30:00,12
2019-03-14 10:31:00,7
2019-03-14 10:33:00,5
2019-03-14 10:34:00,3
2019-03-14 10:35:00,2
2019-03-14 10:36:00,15
2019-03-14 10:37:00,9
2019-03-14 10:39:00,8
2019-03-14 10:40:00,46
2019-03-14 10:42:00,49
2019-03-14 10:43:00,121
2019-03-14 10:47:00,3
2019-03-14 10:49:00,118
2019-03-14 10:50:00,22
2019-03-14 10:51:00,51
2019-03-14 10:52:00,4
2019-03-14 10:53:00,12
2019-03-14 10:54:00,88
2019-03-14 10:55:00,142
2019-03-14 10:56:00,81
2019-03-14 10:57:00,21
2019-03-14 10:58:00,53
2019-03-14 10:59:00,4
2019-03-14 11:00:00,10
2019-03-14 11:01:00,35
2019-03-14 12:50:00,4
2019-03-14 12:51:00,63
2019-03-14 13:39:00,7
2019-03-14 13:40:00,3
2019-03-14 13:41:00,6
2019-03-14 13:42:00,19
2019-03-14 13:43:00,16
2019-03-14 13:44:00,23
2019-03-14 13:46:00,3
2019-03-14 13:47:00,2
2019-03-14 13:52:00,8
2019-03-14 13:53:00,2
2019-03-14 13:56:00,2
