255,select objid from photoprimary where photoprimary.dec between # and -.# and photoprimary.ra between # and #
2019-03-14 06:14:00,9
2019-03-14 06:45:00,3
2019-03-14 06:47:00,20
2019-03-14 06:48:00,21
2019-03-14 06:49:00,21
2019-03-14 06:50:00,34
2019-03-14 06:57:00,91
2019-03-14 06:58:00,28
2019-03-14 08:24:00,2
2019-03-14 08:38:00,2
2019-03-14 08:50:00,2
2019-03-14 08:51:00,3
2019-03-14 09:20:00,4
2019-03-14 09:21:00,1
2019-03-14 09:44:00,7
2019-03-14 09:57:00,4
2019-03-14 10:41:00,2
2019-03-14 13:35:00,1
