1242,select apstar_id from apogeestar where apogeestar.dec between # and # and apogeestar.ra between # and #
2019-03-14 02:55:00,11
2019-03-14 03:08:00,4
2019-03-14 03:16:00,1
2019-03-14 03:18:00,7
2019-03-14 03:19:00,87
2019-03-14 03:20:00,11
2019-03-14 03:21:00,2
2019-03-14 03:33:00,21
2019-03-14 05:27:00,15
2019-03-14 05:31:00,5
2019-03-14 05:39:00,9
2019-03-14 05:40:00,14
2019-03-14 06:19:00,6
2019-03-14 06:21:00,2
2019-03-14 06:22:00,4
2019-03-14 06:34:00,4
2019-03-14 06:35:00,1
2019-03-14 07:07:00,1
2019-03-14 07:08:00,1
2019-03-14 07:12:00,3
2019-03-14 07:13:00,1
2019-03-14 07:14:00,2
2019-03-14 07:15:00,2
2019-03-14 07:19:00,2
2019-03-14 07:20:00,1
2019-03-14 07:23:00,5
2019-03-14 07:24:00,5
2019-03-14 07:25:00,1
2019-03-14 07:27:00,2
2019-03-14 07:29:00,22
2019-03-14 07:47:00,3
2019-03-14 07:48:00,6
2019-03-14 07:51:00,6
2019-03-14 08:17:00,13
2019-03-14 08:18:00,1
2019-03-14 08:19:00,3
2019-03-14 08:20:00,4
2019-03-14 08:21:00,2
2019-03-14 08:23:00,3
2019-03-14 08:24:00,16
2019-03-14 08:25:00,13
2019-03-14 08:26:00,4
2019-03-14 08:27:00,7
2019-03-14 08:28:00,6
2019-03-14 08:29:00,6
2019-03-14 08:32:00,3
2019-03-14 08:33:00,7
2019-03-14 08:37:00,4
2019-03-14 08:38:00,11
2019-03-14 08:39:00,12
2019-03-14 08:40:00,5
2019-03-14 08:41:00,6
2019-03-14 08:42:00,7
2019-03-14 08:43:00,8
2019-03-14 08:44:00,7
2019-03-14 08:45:00,4
2019-03-14 08:46:00,3
2019-03-14 08:50:00,5
2019-03-14 08:51:00,4
2019-03-14 08:52:00,5
2019-03-14 08:53:00,5
2019-03-14 08:54:00,1
2019-03-14 08:55:00,3
2019-03-14 09:10:00,2
2019-03-14 09:11:00,6
2019-03-14 09:12:00,3
2019-03-14 09:13:00,3
2019-03-14 09:22:00,1
2019-03-14 09:24:00,4
2019-03-14 09:48:00,147
2019-03-14 09:49:00,106
2019-03-14 09:50:00,57
2019-03-14 09:52:00,6
2019-03-14 09:54:00,157
2019-03-14 10:30:00,17
2019-03-14 10:38:00,15
2019-03-14 10:39:00,1
2019-03-14 10:40:00,30
2019-03-14 10:43:00,35
2019-03-14 10:44:00,13
2019-03-14 10:45:00,1
2019-03-14 10:47:00,8
2019-03-14 10:52:00,8
2019-03-14 10:53:00,53
2019-03-14 10:54:00,84
2019-03-14 13:16:00,4
2019-03-14 13:33:00,1
2019-03-14 13:34:00,1
2019-03-14 13:35:00,4
2019-03-14 13:36:00,7
2019-03-14 13:37:00,13
2019-03-14 13:38:00,4
2019-03-14 13:39:00,5
2019-03-14 13:50:00,1
