20,"select p.ra, p.dec, p.z, p.Err_z from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_z <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-03-14 05:28:00,1
2019-03-14 05:50:00,1
2019-03-14 05:57:00,1
2019-03-14 08:53:00,1
2019-03-14 09:10:00,1
2019-03-14 09:43:00,1
2019-03-14 10:00:00,1
2019-03-14 10:33:00,1
2019-03-14 10:50:00,1
2019-03-14 11:06:00,1
2019-03-14 11:23:00,1
2019-03-14 11:55:00,1
2019-03-14 13:36:00,1
2019-03-14 15:29:00,1
2019-03-14 15:43:00,2
2019-03-14 15:44:00,1
2019-03-14 16:54:00,1
2019-03-14 19:17:00,2
