163,"select ra,dec,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroR5#_r,probPSF,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z, p.objid from (PhotoTag p inner join fGetObjFromRectEq(#,#,#,#) r on p.objid=r.objid)"
2019-03-14 20:12:00,19
2019-03-14 20:13:00,27
2019-03-14 20:14:00,12
2019-03-14 20:17:00,16
2019-03-14 20:18:00,15
2019-03-14 20:19:00,16
2019-03-14 20:21:00,5
2019-03-14 20:22:00,8
2019-03-14 20:23:00,8
2019-03-14 20:24:00,4
2019-03-14 20:26:00,6
2019-03-14 20:27:00,4
2019-03-14 20:28:00,3
2019-03-14 20:31:00,4
2019-03-14 20:32:00,2
2019-03-14 20:33:00,1
2019-03-14 20:36:00,2
2019-03-14 20:37:00,1
2019-03-14 20:39:00,1
2019-03-14 20:41:00,2
2019-03-14 20:46:00,2
2019-03-14 20:51:00,1
2019-03-14 20:56:00,1
2019-03-14 21:01:00,1
2019-03-14 21:07:00,1
2019-03-14 21:12:00,1
