483,"select   z, ra, dec, bestObjID   from   specObj   where   class = &&&   and zWarning = #   and ra<#  and ra>#  and dec<#  and dec>#  and z >#  and z <#"
2019-03-14 12:55:00,2
2019-03-14 12:56:00,3
2019-03-14 12:57:00,6
2019-03-14 12:58:00,19
2019-03-14 12:59:00,50
2019-03-14 13:00:00,49
2019-03-14 13:01:00,64
2019-03-14 13:02:00,43
2019-03-14 13:17:00,31
2019-03-14 13:18:00,51
2019-03-14 13:19:00,54
2019-03-14 13:20:00,68
2019-03-14 13:21:00,30
2019-03-14 16:03:00,12
2019-03-14 16:04:00,1
