4854,"SELECT DISTINCT p.ra, p.dec, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.lnLExp_u, p.lnLDeV_u, s.Z, s.class, s.BestObjID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-14 10:52:00,63
2019-03-14 10:53:00,102
2019-03-14 10:54:00,104
2019-03-14 10:55:00,101
2019-03-14 10:56:00,67
2019-03-14 10:57:00,61
2019-03-14 10:58:00,101
2019-03-14 10:59:00,143
2019-03-14 11:00:00,105
2019-03-14 11:01:00,61
2019-03-14 11:02:00,130
2019-03-14 11:03:00,114
2019-03-14 11:04:00,103
2019-03-14 11:05:00,104
2019-03-14 11:06:00,102
2019-03-14 11:07:00,104
2019-03-14 11:08:00,60
2019-03-14 11:09:00,63
2019-03-14 11:13:00,64
2019-03-14 11:14:00,139
2019-03-14 11:15:00,19
2019-03-14 11:19:00,85
2019-03-14 11:20:00,138
2019-03-14 11:21:00,119
2019-03-14 11:22:00,114
2019-03-14 11:23:00,118
2019-03-14 11:24:00,79
2019-03-14 11:25:00,67
2019-03-14 11:26:00,44
2019-03-14 11:30:00,13
2019-03-14 11:31:00,127
2019-03-14 11:32:00,111
2019-03-14 11:33:00,167
2019-03-14 11:34:00,191
2019-03-14 11:35:00,204
2019-03-14 11:36:00,201
2019-03-14 11:37:00,180
2019-03-14 11:38:00,202
2019-03-14 11:39:00,173
2019-03-14 11:40:00,161
2019-03-14 11:41:00,159
2019-03-14 11:42:00,160
2019-03-14 11:43:00,131
