17,"select top # p.objid, p.ra, p.dec, p.g, s.z as redshift from galaxy p, specobj s, dbo.fgetNearByObjEq(#,#,#) n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid and (p.g BETWEEN # AND #)  and s.z BETWEEN # AND # order by p.g"
2019-03-14 01:22:00,1
2019-03-14 01:46:00,1
2019-03-14 01:54:00,1
2019-03-14 01:56:00,1
2019-03-14 01:58:00,1
2019-03-14 02:02:00,1
2019-03-14 02:06:00,1
2019-03-14 04:57:00,1
2019-03-14 05:08:00,1
2019-03-14 05:10:00,1
2019-03-14 05:11:00,1
2019-03-14 05:14:00,1
2019-03-14 05:18:00,1
2019-03-14 05:20:00,1
2019-03-14 05:22:00,1
2019-03-14 05:24:00,1
2019-03-14 19:53:00,1
