17749,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between # and # and photoprimary.r between # and #
2019-03-14 07:48:00,9
2019-03-14 07:49:00,5
2019-03-14 07:50:00,1
2019-03-14 08:10:00,190
2019-03-14 08:11:00,153
2019-03-14 08:12:00,689
2019-03-14 08:13:00,289
2019-03-14 08:14:00,187
2019-03-14 08:15:00,59
2019-03-14 08:16:00,191
2019-03-14 08:17:00,235
2019-03-14 08:18:00,806
2019-03-14 08:19:00,135
2019-03-14 08:21:00,37
2019-03-14 08:22:00,52
2019-03-14 08:23:00,187
2019-03-14 08:24:00,10
2019-03-14 08:29:00,125
2019-03-14 08:30:00,740
2019-03-14 08:31:00,1115
2019-03-14 08:32:00,40
2019-03-14 08:33:00,109
2019-03-14 08:34:00,797
2019-03-14 08:35:00,332
2019-03-14 08:36:00,965
2019-03-14 08:37:00,363
2019-03-14 08:46:00,18
2019-03-14 08:47:00,424
2019-03-14 08:48:00,506
2019-03-14 08:49:00,804
2019-03-14 08:50:00,26
2019-03-14 08:55:00,50
2019-03-14 08:56:00,166
2019-03-14 08:57:00,194
2019-03-14 08:58:00,208
2019-03-14 08:59:00,87
2019-03-14 09:00:00,248
2019-03-14 09:01:00,479
2019-03-14 09:02:00,712
2019-03-14 09:03:00,706
2019-03-14 09:04:00,720
2019-03-14 09:05:00,642
2019-03-14 09:06:00,1005
2019-03-14 09:07:00,262
2019-03-14 09:08:00,468
2019-03-14 09:09:00,695
2019-03-14 09:10:00,457
2019-03-14 09:12:00,10
2019-03-14 09:13:00,5
2019-03-14 09:14:00,246
2019-03-14 09:15:00,635
2019-03-14 09:16:00,142
2019-03-14 09:17:00,13
