136,select objid from photoprimary where photoprimary.dec between # and -.# and photoprimary.ra between # and # and photoprimary.r between # and #
2019-03-14 08:10:00,2
2019-03-14 08:12:00,1
2019-03-14 08:17:00,2
2019-03-14 08:18:00,5
2019-03-14 08:22:00,1
2019-03-14 08:23:00,7
2019-03-14 08:30:00,7
2019-03-14 08:31:00,3
2019-03-14 08:33:00,1
2019-03-14 08:34:00,1
2019-03-14 08:35:00,2
2019-03-14 08:36:00,1
2019-03-14 08:37:00,3
2019-03-14 08:47:00,9
2019-03-14 08:48:00,7
2019-03-14 08:58:00,2
2019-03-14 08:59:00,2
2019-03-14 09:00:00,2
2019-03-14 09:01:00,5
2019-03-14 09:02:00,7
2019-03-14 09:03:00,8
2019-03-14 09:04:00,12
2019-03-14 09:06:00,7
2019-03-14 09:08:00,6
2019-03-14 09:09:00,5
2019-03-14 09:10:00,5
2019-03-14 09:14:00,2
2019-03-14 09:15:00,19
2019-03-14 09:16:00,2
