3,"select top # p.objid, p.ra, p.dec, p.g, s.z as redshift from galaxy p, specobj s, dbo.fgetNearByObjEq(#,#,#) n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid order by p.g"
2019-03-14 01:59:00,1
2019-03-14 02:04:00,1
2019-03-14 02:07:00,1
