54,"SELECT   p.objID, p.ra, p.dec, p.psfMag_u, p.psfMagErr_u, p.psfMag_g, p.psfMagErr_g, p.psfMag_r, p.psfMagErr_r, p.psfMag_i, p.psfMagErr_i, p.psfMag_z, p.psfMagErr_z, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z into mydb.MyTable from PhotoPrimary AS p WHERE   ((p.dered_g < #) OR (p.dered_r < #) OR (p.dered_i < #)) and (p.type=#)   and (p.psfMag_r>=#)   and (p.psfMag_r<#)"
2019-03-14 14:26:00,1
2019-03-14 14:29:00,1
2019-03-14 14:32:00,1
2019-03-14 14:38:00,1
2019-03-14 14:39:00,1
2019-03-14 14:40:00,1
2019-03-14 14:45:00,1
2019-03-14 14:48:00,1
2019-03-14 14:53:00,1
2019-03-14 14:56:00,1
2019-03-14 15:00:00,1
2019-03-14 15:08:00,2
2019-03-14 15:46:00,1
2019-03-14 15:49:00,1
2019-03-14 15:53:00,1
2019-03-14 15:57:00,1
2019-03-14 15:58:00,1
2019-03-14 16:01:00,1
2019-03-14 16:06:00,1
2019-03-14 16:10:00,1
2019-03-14 16:13:00,1
2019-03-14 16:16:00,1
2019-03-14 16:21:00,1
2019-03-14 16:25:00,1
2019-03-14 16:29:00,1
2019-03-14 16:33:00,1
2019-03-14 16:35:00,1
2019-03-14 16:40:00,1
2019-03-14 16:45:00,1
2019-03-14 16:49:00,1
2019-03-14 16:52:00,1
2019-03-14 16:55:00,1
2019-03-14 16:58:00,1
2019-03-14 17:03:00,1
2019-03-14 17:07:00,1
2019-03-14 17:14:00,1
2019-03-14 17:17:00,1
2019-03-14 17:21:00,1
2019-03-14 17:25:00,1
2019-03-14 17:30:00,1
2019-03-14 17:46:00,1
2019-03-14 17:52:00,1
2019-03-14 17:56:00,1
2019-03-14 18:00:00,1
2019-03-14 18:04:00,1
2019-03-14 18:08:00,1
2019-03-14 18:12:00,1
2019-03-14 18:13:00,1
2019-03-14 18:14:00,1
2019-03-14 18:18:00,1
2019-03-14 18:22:00,1
2019-03-14 18:29:00,1
2019-03-14 18:40:00,1
