1587,select objid from star where star.dec between # and # and star.ra between # and #
2019-03-14 03:16:00,9
2019-03-14 03:18:00,18
2019-03-14 03:19:00,298
2019-03-14 03:20:00,38
2019-03-14 03:21:00,3
2019-03-14 06:19:00,56
2019-03-14 06:21:00,28
2019-03-14 06:22:00,21
2019-03-14 07:08:00,4
2019-03-14 07:12:00,4
2019-03-14 07:13:00,3
2019-03-14 07:14:00,3
2019-03-14 07:15:00,4
2019-03-14 07:19:00,2
2019-03-14 07:21:00,1
2019-03-14 07:23:00,13
2019-03-14 07:24:00,12
2019-03-14 07:25:00,5
2019-03-14 07:27:00,178
2019-03-14 07:28:00,7
2019-03-14 10:53:00,70
2019-03-14 10:54:00,216
2019-03-14 13:15:00,1
2019-03-14 13:16:00,22
2019-03-14 13:33:00,11
2019-03-14 13:34:00,10
2019-03-14 13:35:00,18
2019-03-14 13:36:00,61
2019-03-14 13:37:00,64
2019-03-14 13:38:00,27
2019-03-14 13:39:00,21
2019-03-14 13:40:00,4
2019-03-14 13:51:00,178
2019-03-14 13:52:00,177
