22133,select objid from photoobj where photoobj.dec between # and # and photoobj.ra between # and #
2019-03-14 00:40:00,1
2019-03-14 00:41:00,1
2019-03-14 00:42:00,1
2019-03-14 00:43:00,11
2019-03-14 00:44:00,10
2019-03-14 02:53:00,12
2019-03-14 02:57:00,7
2019-03-14 03:01:00,16
2019-03-14 03:07:00,17
2019-03-14 03:08:00,11
2019-03-14 03:12:00,11
2019-03-14 03:13:00,5
2019-03-14 03:14:00,73
2019-03-14 03:15:00,98
2019-03-14 03:29:00,369
2019-03-14 03:30:00,7
2019-03-14 03:31:00,159
2019-03-14 03:33:00,298
2019-03-14 04:08:00,60
2019-03-14 04:09:00,8
2019-03-14 04:17:00,155
2019-03-14 04:18:00,384
2019-03-14 05:30:00,53
2019-03-14 05:31:00,179
2019-03-14 05:32:00,540
2019-03-14 05:38:00,91
2019-03-14 05:40:00,74
2019-03-14 05:41:00,138
2019-03-14 05:42:00,965
2019-03-14 05:43:00,893
2019-03-14 05:44:00,630
2019-03-14 05:45:00,363
2019-03-14 05:46:00,442
2019-03-14 05:48:00,3
2019-03-14 05:54:00,53
2019-03-14 05:56:00,131
2019-03-14 05:57:00,28
2019-03-14 05:58:00,405
2019-03-14 05:59:00,3
2019-03-14 06:13:00,471
2019-03-14 06:14:00,282
2019-03-14 06:15:00,159
2019-03-14 06:18:00,359
2019-03-14 06:19:00,10
2019-03-14 06:20:00,18
2019-03-14 06:21:00,11
2019-03-14 06:22:00,31
2019-03-14 06:23:00,175
2019-03-14 06:24:00,11
2019-03-14 06:25:00,16
2019-03-14 06:26:00,16
2019-03-14 06:27:00,16
2019-03-14 06:28:00,1
2019-03-14 06:30:00,118
2019-03-14 06:31:00,506
2019-03-14 06:32:00,10
2019-03-14 06:33:00,1
2019-03-14 06:35:00,315
2019-03-14 06:36:00,589
2019-03-14 06:37:00,663
2019-03-14 06:38:00,50
2019-03-14 06:41:00,332
2019-03-14 06:42:00,58
2019-03-14 07:02:00,20
2019-03-14 07:03:00,43
2019-03-14 07:07:00,348
2019-03-14 07:08:00,9
2019-03-14 07:09:00,4
2019-03-14 07:49:00,6
2019-03-14 07:51:00,412
2019-03-14 07:52:00,262
2019-03-14 07:53:00,244
2019-03-14 08:18:00,29
2019-03-14 08:19:00,149
2019-03-14 08:20:00,4
2019-03-14 08:21:00,2
2019-03-14 08:23:00,7
2019-03-14 08:24:00,7
2019-03-14 08:25:00,15
2019-03-14 08:26:00,5
2019-03-14 08:27:00,7
2019-03-14 08:28:00,6
2019-03-14 08:29:00,6
2019-03-14 08:33:00,166
2019-03-14 08:35:00,66
2019-03-14 08:37:00,5
2019-03-14 08:38:00,3
2019-03-14 08:39:00,15
2019-03-14 08:40:00,5
2019-03-14 08:41:00,6
2019-03-14 08:42:00,7
2019-03-14 08:43:00,10
2019-03-14 08:44:00,3
2019-03-14 08:45:00,3
2019-03-14 08:46:00,3
2019-03-14 08:47:00,6
2019-03-14 08:48:00,275
2019-03-14 08:50:00,8
2019-03-14 08:51:00,3
2019-03-14 08:52:00,5
2019-03-14 08:53:00,4
2019-03-14 08:54:00,6
2019-03-14 08:55:00,2
2019-03-14 09:06:00,76
2019-03-14 09:08:00,78
2019-03-14 09:10:00,4
2019-03-14 09:11:00,3
2019-03-14 09:12:00,2
2019-03-14 09:13:00,3
2019-03-14 09:33:00,16
2019-03-14 09:34:00,413
2019-03-14 09:39:00,6
2019-03-14 09:40:00,21
2019-03-14 09:41:00,52
2019-03-14 09:42:00,16
2019-03-14 09:43:00,25
2019-03-14 09:45:00,115
2019-03-14 09:46:00,30
2019-03-14 09:47:00,316
2019-03-14 09:49:00,634
2019-03-14 09:50:00,324
2019-03-14 09:51:00,75
2019-03-14 09:52:00,227
2019-03-14 09:53:00,529
2019-03-14 09:57:00,60
2019-03-14 09:58:00,41
2019-03-14 09:59:00,26
2019-03-14 10:06:00,1
2019-03-14 10:07:00,116
2019-03-14 10:23:00,9
2019-03-14 10:25:00,86
2019-03-14 10:26:00,112
2019-03-14 10:27:00,2
2019-03-14 10:28:00,58
2019-03-14 10:29:00,157
2019-03-14 10:34:00,4
2019-03-14 10:35:00,363
2019-03-14 10:36:00,282
2019-03-14 10:37:00,82
2019-03-14 10:38:00,95
2019-03-14 10:41:00,32
2019-03-14 10:42:00,25
2019-03-14 10:43:00,1
2019-03-14 10:44:00,60
2019-03-14 10:45:00,5
2019-03-14 10:46:00,14
2019-03-14 10:47:00,131
2019-03-14 10:51:00,5
2019-03-14 10:52:00,21
2019-03-14 10:55:00,162
2019-03-14 10:56:00,81
2019-03-14 10:57:00,213
2019-03-14 10:58:00,11
2019-03-14 11:00:00,44
2019-03-14 11:01:00,146
2019-03-14 11:03:00,1
2019-03-14 11:04:00,1
2019-03-14 11:06:00,1
2019-03-14 11:07:00,2
2019-03-14 11:08:00,2
2019-03-14 11:09:00,1
2019-03-14 11:10:00,2
