29,"SELECT p.objid, p.psfMag_u AS u, p.psfMagErr_u as u_err, p.psfMag_g AS g, p.psfMagErr_g as g_err, s.elodieTEff, p.dered_r AS r, p.psfMagErr_r as r_err, p.dered_i AS i, p.psfMagErr_i as i_err, p.dered_z AS z, p.psfMagErr_z as z_err, p.b AS b, p.l as l FROM photoObj p JOIN segue1SpecObjAll s ON s.bestObjID = p.objid WHERE p.type = # AND p.psfMag_g BETWEEN # AND # AND p.psfMag_u/p.psfMagerr_u > # AND p.psfMag_g/p.psfMagerr_g > # AND p.psfMag_r/p.psfMagerr_r > # AND p.psfMag_i/p.psfMagerr_i > # AND p.psfMag_z/p.psfMagerr_z > # AND p.b BETWEEN # AND #"
2019-10-03 11:43:00,1
2019-10-03 11:45:00,5
2019-10-03 11:46:00,10
2019-10-03 11:56:00,1
2019-10-03 11:59:00,1
2019-10-03 12:01:00,1
2019-10-03 12:03:00,1
2019-10-03 12:04:00,2
2019-10-03 12:05:00,1
2019-10-03 12:06:00,1
2019-10-03 12:07:00,1
2019-10-03 12:08:00,1
2019-10-03 12:09:00,1
2019-10-03 12:10:00,1
2019-10-03 12:21:00,1
