40,select count(*) as thecount
2019-10-03 09:44:00,1
2019-10-03 09:46:00,1
2019-10-03 10:25:00,3
2019-10-03 10:51:00,2
2019-10-03 11:18:00,2
2019-10-03 11:19:00,1
2019-10-03 12:02:00,2
2019-10-03 12:47:00,2
2019-10-03 13:02:00,2
2019-10-03 13:14:00,1
2019-10-03 13:26:00,1
2019-10-03 13:53:00,3
2019-10-03 14:27:00,2
2019-10-03 14:52:00,1
2019-10-03 14:57:00,1
2019-10-03 15:30:00,4
2019-10-03 15:54:00,3
2019-10-03 17:59:00,2
2019-10-03 18:03:00,1
2019-10-03 18:43:00,1
2019-10-03 19:36:00,1
2019-10-03 19:37:00,1
2019-10-03 20:05:00,1
2019-10-03 20:06:00,1
