8851,"SELECT gse.lgm_tot_p5#, gse.lgm_tot_p8#                    FROM galSpecExtra AS gse                    JOIN SpecObjAll AS s ON s.specObjID = gse.specObjID                    WHERE s.mjd = # AND s.plate = # AND s.fiberID = #"
2019-10-03 16:14:00,15
2019-10-03 16:15:00,70
2019-10-03 16:16:00,13
2019-10-03 16:17:00,20
2019-10-03 16:18:00,60
2019-10-03 16:19:00,56
2019-10-03 16:20:00,58
2019-10-03 16:21:00,57
2019-10-03 16:22:00,57
2019-10-03 16:23:00,47
2019-10-03 16:24:00,57
2019-10-03 16:25:00,57
2019-10-03 16:26:00,56
2019-10-03 16:27:00,48
2019-10-03 16:28:00,44
2019-10-03 16:29:00,57
2019-10-03 16:30:00,55
2019-10-03 16:31:00,50
2019-10-03 16:32:00,55
2019-10-03 16:33:00,58
2019-10-03 16:34:00,58
2019-10-03 16:35:00,54
2019-10-03 16:36:00,51
2019-10-03 16:37:00,61
2019-10-03 16:38:00,56
2019-10-03 16:39:00,60
2019-10-03 16:40:00,51
2019-10-03 16:41:00,53
2019-10-03 16:42:00,58
2019-10-03 16:43:00,56
2019-10-03 16:44:00,53
2019-10-03 16:45:00,44
2019-10-03 16:46:00,61
2019-10-03 16:47:00,54
2019-10-03 16:48:00,54
2019-10-03 16:49:00,51
2019-10-03 16:50:00,29
2019-10-03 16:51:00,47
2019-10-03 16:52:00,57
2019-10-03 16:53:00,53
2019-10-03 16:54:00,59
2019-10-03 16:55:00,57
2019-10-03 16:56:00,59
2019-10-03 16:57:00,56
2019-10-03 16:58:00,57
2019-10-03 16:59:00,49
2019-10-03 17:00:00,41
2019-10-03 17:01:00,57
2019-10-03 17:02:00,57
2019-10-03 17:03:00,59
2019-10-03 17:04:00,51
2019-10-03 17:05:00,57
2019-10-03 17:06:00,56
2019-10-03 17:07:00,56
2019-10-03 17:08:00,57
2019-10-03 17:09:00,57
2019-10-03 17:10:00,58
2019-10-03 17:11:00,52
2019-10-03 17:12:00,62
2019-10-03 17:13:00,58
2019-10-03 17:14:00,52
2019-10-03 17:15:00,59
2019-10-03 17:16:00,55
2019-10-03 17:17:00,60
2019-10-03 17:18:00,45
2019-10-03 17:19:00,57
2019-10-03 17:20:00,53
2019-10-03 17:21:00,59
2019-10-03 17:22:00,59
2019-10-03 17:23:00,60
2019-10-03 17:24:00,59
2019-10-03 17:25:00,60
2019-10-03 17:26:00,61
2019-10-03 17:27:00,50
2019-10-03 17:28:00,53
2019-10-03 17:29:00,57
2019-10-03 17:30:00,55
2019-10-03 17:31:00,55
2019-10-03 17:32:00,48
2019-10-03 17:33:00,56
2019-10-03 17:34:00,58
2019-10-03 17:35:00,56
2019-10-03 17:36:00,59
2019-10-03 17:37:00,58
2019-10-03 17:38:00,53
2019-10-03 17:39:00,57
2019-10-03 17:40:00,59
2019-10-03 17:41:00,59
2019-10-03 17:42:00,58
2019-10-03 17:43:00,55
2019-10-03 17:44:00,57
2019-10-03 17:45:00,60
2019-10-03 17:46:00,61
2019-10-03 17:47:00,60
2019-10-03 17:48:00,55
2019-10-03 17:49:00,59
2019-10-03 17:50:00,50
2019-10-03 17:51:00,50
2019-10-03 17:52:00,50
2019-10-03 17:53:00,57
2019-10-03 17:54:00,60
2019-10-03 17:55:00,43
2019-10-03 17:56:00,47
2019-10-03 17:58:00,1
2019-10-03 17:59:00,60
2019-10-03 18:00:00,43
2019-10-03 18:01:00,61
2019-10-03 18:02:00,49
2019-10-03 18:03:00,49
2019-10-03 18:04:00,56
2019-10-03 18:05:00,58
2019-10-03 18:06:00,53
2019-10-03 18:07:00,53
2019-10-03 18:08:00,52
2019-10-03 18:09:00,50
2019-10-03 18:10:00,54
2019-10-03 18:11:00,55
2019-10-03 18:12:00,55
2019-10-03 18:13:00,46
2019-10-03 18:14:00,55
2019-10-03 18:15:00,55
2019-10-03 18:16:00,54
2019-10-03 18:17:00,52
2019-10-03 18:18:00,47
2019-10-03 18:19:00,57
2019-10-03 18:20:00,49
2019-10-03 18:21:00,57
2019-10-03 18:22:00,48
2019-10-03 18:23:00,60
2019-10-03 18:24:00,56
2019-10-03 18:25:00,55
2019-10-03 18:26:00,55
2019-10-03 18:27:00,54
2019-10-03 18:28:00,62
2019-10-03 18:29:00,54
2019-10-03 18:30:00,61
2019-10-03 18:31:00,58
2019-10-03 18:32:00,55
2019-10-03 18:33:00,56
2019-10-03 18:34:00,50
2019-10-03 18:35:00,59
2019-10-03 18:36:00,57
2019-10-03 18:37:00,57
2019-10-03 18:38:00,58
2019-10-03 18:39:00,56
2019-10-03 18:40:00,53
2019-10-03 18:41:00,58
2019-10-03 18:42:00,56
2019-10-03 18:43:00,57
2019-10-03 18:44:00,61
2019-10-03 18:45:00,58
2019-10-03 18:46:00,54
2019-10-03 18:47:00,52
2019-10-03 18:48:00,48
2019-10-03 18:49:00,54
2019-10-03 18:50:00,56
2019-10-03 18:51:00,58
2019-10-03 18:52:00,56
2019-10-03 18:53:00,58
2019-10-03 18:54:00,53
2019-10-03 18:55:00,62
2019-10-03 18:56:00,57
2019-10-03 18:57:00,61
2019-10-03 18:58:00,47
