2,"SELECT TOP # s.ra, s.dec, g.g, g.r FROM Galaxy g, SpecObj s     WHERE s.eclass < #     and g.fracdev_g = #"
2019-10-03 01:12:00,1
2019-10-03 01:15:00,1
