18,"SELECT TOP # p.ra,p.dec,p.g,p.i,p.petroR5#_r,p.petroR9#_r,p.r,p.u,p.z,ISNULL(s.plate,#) as plate,ISNULL(s.mjd,#) as mjd,ISNULL(s.fiberid,#) as fiberid FROM BESTDR7..PhotoObj AS p LEFT OUTER JOIN BESTDR7..SpecObj s ON p.objID = s.bestObjID 	JOIN #x AS x ON x.objID=p.objID JOIN #upload AS u ON u.up_id = x.up_id  WHERE  ( p.type = # OR p.type = #) ORDER BY x.up_id"
2019-10-03 12:59:00,1
2019-10-03 21:03:00,2
2019-10-03 21:07:00,1
2019-10-03 21:12:00,1
2019-10-03 21:19:00,1
2019-10-03 21:23:00,1
2019-10-03 21:29:00,1
2019-10-03 21:39:00,1
2019-10-03 21:55:00,1
2019-10-03 22:04:00,1
2019-10-03 22:23:00,1
2019-10-03 22:29:00,1
2019-10-03 22:33:00,1
2019-10-03 22:40:00,1
2019-10-03 22:44:00,1
2019-10-03 22:51:00,1
2019-10-03 22:58:00,1
