3,"SELECT TOP #   g.specobjid,   g.objid,   g.dr7objid,   g.ra,   g.dec,   g.p_el,   g.p_el_debiased,   g.elliptical,   p.z,   p.modelMag_u,   p.modelMag_g,   p.modelMag_r,   p.modelMag_i,   p.modelMag_z,   p.dered_u,   p.dered_g,   p.dered_r,   p.dered_i,   p.dered_z into mydb.MyTable_# from zooSpec g JOIN SpecPhotoAll p on g.objid=p.objid   WHERE g.dec < #"
2019-11-09 08:43:00,1
2019-11-09 08:44:00,2
