472,"SELECT g.source_id, g.ra, g.dec     FROM GaiaDR2.gaia_source as g     WHERE         g.ra > # AND         g.ra < # AND         g.dec > # AND         g.dec < #     ORDER BY g.ra"
2019-11-09 07:21:00,29
2019-11-09 07:22:00,5
2019-11-09 07:23:00,24
2019-11-09 07:29:00,19
2019-11-09 07:30:00,10
2019-11-09 07:35:00,4
2019-11-09 07:36:00,20
2019-11-09 07:37:00,9
2019-11-09 07:40:00,8
2019-11-09 07:41:00,21
2019-11-09 07:48:00,23
2019-11-09 07:49:00,6
2019-11-09 07:50:00,4
2019-11-09 07:51:00,25
2019-11-09 07:59:00,29
2019-11-09 08:06:00,29
2019-11-09 08:11:00,20
2019-11-09 08:12:00,9
2019-11-09 08:13:00,29
2019-11-09 08:23:00,21
2019-11-09 08:24:00,8
2019-11-09 08:31:00,6
2019-11-09 08:32:00,23
2019-11-09 08:34:00,4
2019-11-09 08:35:00,29
2019-11-09 08:46:00,17
2019-11-09 08:47:00,12
2019-11-09 08:55:00,29
