463,"SELECT  top # p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n JOIN PhotoPrimary p ON n.objID=p.objID"
2019-11-09 00:00:00,1
2019-11-09 00:02:00,1
2019-11-09 00:04:00,1
2019-11-09 00:06:00,2
2019-11-09 00:09:00,1
2019-11-09 00:10:00,2
2019-11-09 00:13:00,1
2019-11-09 00:16:00,1
2019-11-09 00:18:00,1
2019-11-09 00:20:00,1
2019-11-09 00:24:00,1
2019-11-09 00:29:00,1
2019-11-09 00:35:00,1
2019-11-09 00:39:00,1
2019-11-09 00:44:00,1
2019-11-09 00:47:00,1
2019-11-09 00:50:00,1
2019-11-09 00:55:00,1
2019-11-09 01:01:00,1
2019-11-09 01:07:00,2
2019-11-09 01:17:00,2
2019-11-09 01:22:00,1
2019-11-09 01:25:00,1
2019-11-09 01:27:00,1
2019-11-09 01:32:00,1
2019-11-09 01:37:00,1
2019-11-09 01:39:00,1
2019-11-09 01:40:00,1
2019-11-09 01:44:00,1
2019-11-09 01:46:00,1
2019-11-09 01:48:00,1
2019-11-09 01:49:00,1
2019-11-09 01:50:00,1
2019-11-09 01:52:00,2
2019-11-09 01:55:00,1
2019-11-09 01:56:00,1
2019-11-09 01:59:00,1
2019-11-09 02:01:00,1
2019-11-09 02:04:00,1
2019-11-09 02:12:00,1
2019-11-09 02:14:00,3
2019-11-09 02:16:00,2
2019-11-09 02:19:00,1
2019-11-09 02:22:00,2
2019-11-09 02:27:00,1
2019-11-09 02:32:00,1
2019-11-09 02:34:00,1
2019-11-09 02:38:00,1
2019-11-09 02:41:00,1
2019-11-09 02:43:00,1
2019-11-09 02:46:00,1
2019-11-09 02:48:00,1
2019-11-09 02:50:00,1
2019-11-09 02:55:00,1
2019-11-09 02:58:00,1
2019-11-09 03:00:00,1
2019-11-09 03:02:00,1
2019-11-09 03:04:00,1
2019-11-09 03:06:00,2
2019-11-09 03:09:00,1
2019-11-09 03:19:00,2
2019-11-09 03:22:00,4
2019-11-09 03:25:00,1
2019-11-09 03:30:00,1
2019-11-09 03:32:00,1
2019-11-09 03:37:00,1
2019-11-09 03:42:00,1
2019-11-09 03:45:00,1
2019-11-09 03:48:00,1
2019-11-09 03:51:00,1
2019-11-09 03:53:00,1
2019-11-09 03:56:00,1
2019-11-09 03:59:00,1
2019-11-09 04:02:00,6
2019-11-09 04:07:00,3
2019-11-09 04:10:00,2
2019-11-09 04:12:00,2
2019-11-09 04:13:00,4
2019-11-09 04:18:00,1
2019-11-09 04:23:00,1
2019-11-09 04:27:00,1
2019-11-09 04:35:00,3
2019-11-09 04:36:00,1
2019-11-09 04:39:00,1
2019-11-09 04:42:00,1
2019-11-09 04:45:00,1
2019-11-09 04:48:00,1
2019-11-09 04:51:00,7
2019-11-09 04:58:00,4
2019-11-09 04:59:00,1
2019-11-09 05:00:00,1
2019-11-09 05:02:00,1
2019-11-09 05:04:00,1
2019-11-09 05:06:00,1
2019-11-09 05:08:00,1
2019-11-09 05:13:00,1
2019-11-09 05:15:00,1
2019-11-09 05:22:00,1
2019-11-09 05:24:00,1
2019-11-09 05:27:00,1
2019-11-09 05:30:00,1
2019-11-09 05:33:00,1
2019-11-09 05:36:00,1
2019-11-09 05:38:00,1
2019-11-09 05:41:00,1
2019-11-09 05:44:00,1
2019-11-09 05:47:00,3
2019-11-09 05:52:00,1
2019-11-09 05:54:00,1
2019-11-09 05:56:00,1
2019-11-09 05:58:00,1
2019-11-09 06:00:00,1
2019-11-09 06:02:00,1
2019-11-09 06:06:00,1
2019-11-09 06:07:00,1
2019-11-09 06:08:00,1
2019-11-09 06:10:00,1
2019-11-09 06:12:00,1
2019-11-09 06:19:00,1
2019-11-09 06:41:00,1
2019-11-09 06:43:00,1
2019-11-09 06:45:00,1
2019-11-09 06:47:00,1
2019-11-09 06:49:00,1
2019-11-09 06:51:00,1
2019-11-09 06:53:00,1
2019-11-09 06:55:00,2
2019-11-09 07:07:00,1
2019-11-09 07:11:00,1
2019-11-09 07:16:00,1
2019-11-09 07:21:00,1
2019-11-09 07:27:00,1
2019-11-09 07:32:00,1
2019-11-09 07:41:00,1
2019-11-09 07:48:00,3
2019-11-09 07:49:00,5
2019-11-09 07:53:00,1
2019-11-09 07:58:00,1
2019-11-09 08:01:00,1
2019-11-09 08:03:00,1
2019-11-09 08:07:00,1
2019-11-09 08:15:00,2
2019-11-09 08:18:00,1
2019-11-09 08:21:00,1
2019-11-09 08:23:00,1
2019-11-09 08:24:00,2
2019-11-09 08:28:00,2
2019-11-09 08:30:00,1
2019-11-09 08:35:00,2
2019-11-09 08:39:00,1
2019-11-09 08:45:00,1
2019-11-09 08:48:00,1
2019-11-09 08:50:00,1
2019-11-09 08:52:00,1
2019-11-09 08:54:00,1
2019-11-09 09:01:00,1
2019-11-09 09:02:00,1
2019-11-09 09:03:00,2
2019-11-09 09:05:00,2
2019-11-09 09:07:00,1
2019-11-09 09:12:00,1
2019-11-09 09:17:00,1
2019-11-09 09:21:00,1
2019-11-09 09:26:00,1
2019-11-09 09:32:00,1
2019-11-09 09:37:00,1
2019-11-09 09:41:00,1
2019-11-09 09:46:00,1
2019-11-09 09:53:00,1
2019-11-09 10:01:00,1
2019-11-09 10:10:00,1
2019-11-09 10:12:00,1
2019-11-09 10:16:00,1
2019-11-09 10:21:00,1
2019-11-09 10:23:00,1
2019-11-09 10:24:00,1
2019-11-09 10:25:00,4
2019-11-09 10:27:00,1
2019-11-09 10:31:00,1
2019-11-09 10:33:00,1
2019-11-09 10:34:00,1
2019-11-09 10:39:00,1
2019-11-09 10:43:00,1
2019-11-09 10:48:00,1
2019-11-09 10:50:00,1
2019-11-09 10:52:00,1
2019-11-09 10:56:00,1
2019-11-09 10:58:00,1
2019-11-09 11:03:00,1
2019-11-09 11:07:00,1
2019-11-09 11:09:00,1
2019-11-09 11:11:00,1
2019-11-09 11:13:00,1
2019-11-09 11:16:00,1
2019-11-09 11:20:00,1
2019-11-09 11:22:00,1
2019-11-09 11:25:00,1
2019-11-09 11:29:00,1
2019-11-09 11:39:00,1
2019-11-09 11:41:00,1
2019-11-09 11:45:00,1
2019-11-09 11:50:00,1
2019-11-09 11:52:00,1
2019-11-09 11:56:00,1
2019-11-09 12:01:00,1
2019-11-09 12:05:00,1
2019-11-09 12:10:00,1
2019-11-09 12:14:00,1
2019-11-09 12:16:00,1
2019-11-09 12:21:00,1
2019-11-09 12:24:00,1
2019-11-09 12:26:00,1
2019-11-09 12:28:00,1
2019-11-09 12:33:00,1
2019-11-09 12:37:00,1
2019-11-09 12:39:00,1
2019-11-09 12:43:00,1
2019-11-09 12:50:00,1
2019-11-09 12:52:00,1
2019-11-09 12:54:00,1
2019-11-09 12:56:00,1
2019-11-09 12:58:00,1
2019-11-09 13:01:00,1
2019-11-09 13:03:00,1
2019-11-09 13:05:00,1
2019-11-09 13:09:00,1
2019-11-09 13:14:00,1
2019-11-09 13:16:00,1
2019-11-09 13:21:00,1
2019-11-09 13:24:00,1
2019-11-09 13:28:00,2
2019-11-09 13:33:00,1
2019-11-09 13:37:00,1
2019-11-09 13:39:00,1
2019-11-09 13:44:00,1
2019-11-09 13:46:00,1
2019-11-09 13:47:00,1
2019-11-09 13:52:00,1
2019-11-09 13:57:00,1
2019-11-09 14:04:00,1
2019-11-09 14:08:00,1
2019-11-09 14:16:00,1
2019-11-09 14:20:00,1
2019-11-09 14:25:00,1
2019-11-09 14:32:00,1
2019-11-09 14:37:00,1
2019-11-09 14:40:00,1
2019-11-09 14:47:00,1
2019-11-09 14:54:00,1
2019-11-09 15:01:00,1
2019-11-09 15:06:00,1
2019-11-09 15:10:00,1
2019-11-09 15:15:00,1
2019-11-09 15:20:00,1
2019-11-09 15:32:00,1
2019-11-09 15:39:00,1
2019-11-09 15:46:00,1
2019-11-09 15:51:00,1
2019-11-09 15:53:00,1
2019-11-09 15:56:00,1
2019-11-09 16:00:00,1
2019-11-09 16:03:00,1
2019-11-09 16:06:00,1
2019-11-09 16:09:00,1
2019-11-09 16:12:00,1
2019-11-09 16:15:00,1
2019-11-09 16:18:00,1
2019-11-09 16:20:00,1
2019-11-09 16:23:00,1
2019-11-09 16:26:00,1
2019-11-09 16:29:00,1
2019-11-09 16:32:00,1
2019-11-09 16:34:00,1
2019-11-09 16:37:00,1
2019-11-09 16:42:00,1
2019-11-09 16:44:00,1
2019-11-09 16:47:00,1
2019-11-09 16:50:00,1
2019-11-09 16:53:00,1
2019-11-09 16:55:00,1
2019-11-09 16:56:00,1
2019-11-09 17:03:00,1
2019-11-09 17:08:00,2
2019-11-09 17:12:00,1
2019-11-09 17:16:00,1
2019-11-09 17:17:00,2
2019-11-09 17:19:00,1
2019-11-09 17:23:00,1
2019-11-09 17:25:00,1
2019-11-09 17:30:00,1
2019-11-09 17:34:00,1
2019-11-09 17:44:00,1
2019-11-09 17:48:00,1
2019-11-09 17:53:00,1
2019-11-09 17:57:00,1
2019-11-09 18:02:00,1
2019-11-09 18:06:00,1
2019-11-09 18:11:00,1
2019-11-09 18:15:00,1
2019-11-09 18:20:00,1
2019-11-09 18:24:00,1
2019-11-09 18:29:00,2
2019-11-09 18:34:00,4
2019-11-09 18:36:00,1
2019-11-09 18:38:00,1
2019-11-09 18:42:00,2
2019-11-09 18:44:00,1
2019-11-09 18:46:00,1
