87,"SELECT p.objID,p.ra,p.dec,p.dered_u,p.dered_g,p.dered_r,p.dered_i,p.dered_z,p.clean,p.flags,z.z as photoz,z.zErr as photozErr,s.specObjID as specObjID,s.z_noqso as specz_noqso,s.zErr_noqso as speczErr_noqso,s.zWarning_noqso as speczWarning_noqso,s.class,p.rowv as RowV,p.rowvErr as RowVErr,p.colv as ColV,p.colvErr as ColVErr, dbo.fPhotoFlagsN(p.flags) as note from Galaxy as p LEFT OUTER JOIN photoz as z ON z.ObjID = p.ObjID LEFT OUTER JOIN specObjAll as s ON s.bestObjID = p.ObjID WHERE ((flags & #)!=#) AND ((flags & #)=#) AND ((flags & #)=#) AND ((flags & #)!=#) AND # <= p.ra and p.ra <= # and # <= p.dec and p.dec <= #"
2019-05-25 06:01:00,7
2019-05-25 06:02:00,2
2019-05-25 16:42:00,1
2019-05-25 16:43:00,7
2019-05-25 16:44:00,8
2019-05-25 16:45:00,7
2019-05-25 16:46:00,6
2019-05-25 16:47:00,7
2019-05-25 16:48:00,3
2019-05-25 16:49:00,4
2019-05-25 16:50:00,4
2019-05-25 16:51:00,2
2019-05-25 16:52:00,6
2019-05-25 16:53:00,4
2019-05-25 16:54:00,7
2019-05-25 16:55:00,8
2019-05-25 16:56:00,3
2019-05-25 16:57:00,1
