182,"select top # p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z  from PhotoPrimary p, dbo.fGetNearbyObjEq(#,#,#) n  where p.objId=n.objId"
2019-05-25 00:45:00,1
2019-05-25 01:45:00,1
2019-05-25 02:45:00,1
2019-05-25 03:45:00,1
2019-05-25 04:45:00,1
2019-05-25 05:45:00,1
2019-05-25 06:45:00,1
2019-05-25 07:44:00,1
2019-05-25 08:44:00,1
2019-05-25 09:44:00,1
2019-05-25 09:48:00,1
2019-05-25 09:49:00,1
2019-05-25 09:51:00,2
2019-05-25 09:52:00,1
2019-05-25 09:53:00,1
2019-05-25 09:54:00,2
2019-05-25 09:55:00,2
2019-05-25 09:56:00,1
2019-05-25 09:57:00,1
2019-05-25 09:58:00,1
2019-05-25 09:59:00,1
2019-05-25 10:00:00,2
2019-05-25 10:02:00,2
2019-05-25 10:06:00,10
2019-05-25 10:07:00,1
2019-05-25 10:09:00,1
2019-05-25 10:10:00,1
2019-05-25 10:14:00,1
2019-05-25 10:15:00,1
2019-05-25 10:17:00,1
2019-05-25 10:18:00,1
2019-05-25 10:22:00,9
2019-05-25 10:23:00,9
2019-05-25 10:29:00,1
2019-05-25 10:30:00,1
2019-05-25 10:31:00,2
2019-05-25 10:32:00,2
2019-05-25 10:34:00,2
2019-05-25 10:35:00,1
2019-05-25 10:36:00,2
2019-05-25 10:37:00,1
2019-05-25 10:38:00,1
2019-05-25 10:39:00,1
2019-05-25 10:40:00,2
2019-05-25 10:41:00,2
2019-05-25 10:45:00,1
2019-05-25 10:47:00,9
2019-05-25 11:06:00,9
2019-05-25 11:08:00,9
2019-05-25 11:35:00,2
2019-05-25 11:36:00,2
2019-05-25 11:45:00,1
2019-05-25 12:45:00,1
2019-05-25 13:04:00,1
2019-05-25 13:05:00,2
2019-05-25 13:06:00,2
2019-05-25 13:07:00,1
2019-05-25 13:08:00,1
2019-05-25 13:10:00,2
2019-05-25 13:11:00,1
2019-05-25 13:12:00,1
2019-05-25 13:13:00,2
2019-05-25 13:14:00,2
2019-05-25 13:15:00,1
2019-05-25 13:16:00,1
2019-05-25 13:17:00,2
2019-05-25 13:18:00,2
2019-05-25 13:20:00,2
2019-05-25 13:23:00,1
2019-05-25 13:24:00,1
2019-05-25 13:26:00,1
2019-05-25 13:27:00,1
2019-05-25 13:30:00,1
2019-05-25 13:45:00,1
2019-05-25 14:13:00,1
2019-05-25 14:16:00,1
2019-05-25 14:18:00,1
2019-05-25 14:19:00,1
2019-05-25 14:21:00,1
2019-05-25 14:22:00,1
2019-05-25 14:24:00,1
2019-05-25 14:25:00,1
2019-05-25 14:26:00,1
2019-05-25 14:28:00,1
2019-05-25 14:30:00,1
2019-05-25 14:32:00,1
2019-05-25 14:33:00,1
2019-05-25 14:36:00,1
2019-05-25 14:37:00,1
2019-05-25 14:38:00,1
2019-05-25 14:40:00,1
2019-05-25 14:44:00,1
2019-05-25 15:03:00,1
2019-05-25 15:04:00,1
2019-05-25 15:05:00,1
2019-05-25 15:07:00,1
2019-05-25 15:08:00,1
2019-05-25 15:10:00,1
2019-05-25 15:23:00,9
2019-05-25 15:45:00,1
2019-05-25 16:45:00,1
2019-05-25 17:45:00,1
2019-05-25 18:46:00,1
2019-05-25 19:46:00,1
