40,SELECT &&&
2019-05-25 10:40:00,1
2019-05-25 10:41:00,1
2019-05-25 10:42:00,1
2019-05-25 10:46:00,1
2019-05-25 10:48:00,1
2019-05-25 10:52:00,1
2019-05-25 10:53:00,2
2019-05-25 10:54:00,1
2019-05-25 10:58:00,1
2019-05-25 11:00:00,1
2019-05-25 11:07:00,1
2019-05-25 11:09:00,2
2019-05-25 11:10:00,1
2019-05-25 11:11:00,1
2019-05-25 11:15:00,1
2019-05-25 11:16:00,1
2019-05-25 11:17:00,1
2019-05-25 11:18:00,1
2019-05-25 11:19:00,1
2019-05-25 11:20:00,1
2019-05-25 11:21:00,2
2019-05-25 11:22:00,1
2019-05-25 11:23:00,2
2019-05-25 11:24:00,1
2019-05-25 11:25:00,2
2019-05-25 11:26:00,2
2019-05-25 11:27:00,2
2019-05-25 11:28:00,1
2019-05-25 11:29:00,2
2019-05-25 11:30:00,2
2019-05-25 11:35:00,1
