23,select * from zoo2MainPhotoz where dr8objid=#
2019-01-03 01:04:00,1
2019-01-03 01:16:00,1
2019-01-03 06:31:00,1
2019-01-03 07:21:00,1
2019-01-03 07:31:00,1
2019-01-03 08:03:00,1
2019-01-03 08:35:00,1
2019-01-03 08:45:00,1
2019-01-03 09:06:00,1
2019-01-03 09:37:00,1
2019-01-03 10:21:00,1
2019-01-03 10:26:00,1
2019-01-03 10:56:00,1
2019-01-03 11:09:00,1
2019-01-03 12:21:00,1
2019-01-03 15:31:00,1
2019-01-03 16:04:00,1
2019-01-03 16:48:00,1
2019-01-03 16:50:00,1
2019-01-03 17:20:00,1
2019-01-03 18:50:00,1
2019-01-03 20:07:00,2
