181,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between .# and #
2019-03-11 00:04:00,1
2019-03-11 00:12:00,1
2019-03-11 00:16:00,1
2019-03-11 00:23:00,1
2019-03-11 00:31:00,1
2019-03-11 00:39:00,1
2019-03-11 00:41:00,1
2019-03-11 00:50:00,1
2019-03-11 00:55:00,1
2019-03-11 00:58:00,1
2019-03-11 01:12:00,1
2019-03-11 01:15:00,1
2019-03-11 01:22:00,1
2019-03-11 01:24:00,1
2019-03-11 01:34:00,1
2019-03-11 01:46:00,1
2019-03-11 01:47:00,2
2019-03-11 01:57:00,1
2019-03-11 02:17:00,1
2019-03-11 02:23:00,1
2019-03-11 04:12:00,13
2019-03-11 04:34:00,1
2019-03-11 04:37:00,1
2019-03-11 04:38:00,1
2019-03-11 04:42:00,1
2019-03-11 04:54:00,1
2019-03-11 05:02:00,1
2019-03-11 05:03:00,1
2019-03-11 05:09:00,1
2019-03-11 05:22:00,1
2019-03-11 05:25:00,1
2019-03-11 05:26:00,1
2019-03-11 05:34:00,1
2019-03-11 05:50:00,2
2019-03-11 05:52:00,1
2019-03-11 05:57:00,1
2019-03-11 06:10:00,1
2019-03-11 06:21:00,1
2019-03-11 06:24:00,2
2019-03-11 06:32:00,1
2019-03-11 06:46:00,1
2019-03-11 06:50:00,1
2019-03-11 06:51:00,1
2019-03-11 07:02:00,1
2019-03-11 07:12:00,1
2019-03-11 07:19:00,1
2019-03-11 07:27:00,1
2019-03-11 07:30:00,1
2019-03-11 07:40:00,1
2019-03-11 07:47:00,1
2019-03-11 07:48:00,1
2019-03-11 08:04:00,10
2019-03-11 08:22:00,1
2019-03-11 08:26:00,1
2019-03-11 08:28:00,1
2019-03-11 08:30:00,1
2019-03-11 08:47:00,2
2019-03-11 08:49:00,1
2019-03-11 08:51:00,1
2019-03-11 09:02:00,1
2019-03-11 09:10:00,1
2019-03-11 09:17:00,1
2019-03-11 09:21:00,1
2019-03-11 09:28:00,1
2019-03-11 09:30:00,1
2019-03-11 09:43:00,1
2019-03-11 09:47:00,1
2019-03-11 09:50:00,1
2019-03-11 09:53:00,1
2019-03-11 10:06:00,1
2019-03-11 10:09:00,1
2019-03-11 10:12:00,1
2019-03-11 10:15:00,1
2019-03-11 10:29:00,1
2019-03-11 10:30:00,1
2019-03-11 10:34:00,1
2019-03-11 10:39:00,1
2019-03-11 10:52:00,1
2019-03-11 10:55:00,1
2019-03-11 10:58:00,1
2019-03-11 11:05:00,1
2019-03-11 11:13:00,1
2019-03-11 11:19:00,1
2019-03-11 11:20:00,1
2019-03-11 11:35:00,1
2019-03-11 11:36:00,1
2019-03-11 11:44:00,1
2019-03-11 11:51:00,1
2019-03-11 11:59:00,1
2019-03-11 12:09:00,1
2019-03-11 12:12:00,1
2019-03-11 12:24:00,5
2019-03-11 12:43:00,1
2019-03-11 12:50:00,1
2019-03-11 12:51:00,1
2019-03-11 12:59:00,1
2019-03-11 13:01:00,2
2019-03-11 13:05:00,1
2019-03-11 13:15:00,1
2019-03-11 13:21:00,1
2019-03-11 13:23:00,1
2019-03-11 13:30:00,1
2019-03-11 13:35:00,1
2019-03-11 13:42:00,1
2019-03-11 13:45:00,1
2019-03-11 13:46:00,1
2019-03-11 13:50:00,1
2019-03-11 14:07:00,1
2019-03-11 14:09:00,1
2019-03-11 14:10:00,1
2019-03-11 14:19:00,1
2019-03-11 14:25:00,1
2019-03-11 14:31:00,1
2019-03-11 14:38:00,1
2019-03-11 14:49:00,1
2019-03-11 14:55:00,1
2019-03-11 15:04:00,1
2019-03-11 15:12:00,5
2019-03-11 15:29:00,1
2019-03-11 15:39:00,2
2019-03-11 15:40:00,1
2019-03-11 15:42:00,1
2019-03-11 15:44:00,1
2019-03-11 15:53:00,1
2019-03-11 15:56:00,1
2019-03-11 15:59:00,1
2019-03-11 16:16:00,1
2019-03-11 16:26:00,1
2019-03-11 16:37:00,1
2019-03-11 16:41:00,1
2019-03-11 16:50:00,1
2019-03-11 16:56:00,2
2019-03-11 17:38:00,1
2019-03-11 18:15:00,1
2019-03-11 19:21:00,1
2019-03-11 19:47:00,2
2019-03-11 20:15:00,1
2019-03-11 20:23:00,1
2019-03-11 20:41:00,1
2019-03-11 20:54:00,1
2019-03-11 21:05:00,1
2019-03-11 21:17:00,1
2019-03-11 21:22:00,1
2019-03-11 21:32:00,1
