2542,"SELECT   p.objid,p.ra,p.dec,p.r,   s.specobjid,s.z,   dbo.fSpecZWarningN(s.zWarning) as warning,   s.plate, s.mjd, s.fiberid   FROM PhotoObj AS p   JOIN SpecObj AS s ON s.bestobjid = p.objid   WHERE   p.ra < #+# and p.ra > #-#   AND p.dec < #+# and p.dec > #-#"
2019-03-11 09:57:00,2
2019-03-11 09:58:00,1
2019-03-11 10:00:00,2
2019-03-11 10:04:00,1
2019-03-11 10:05:00,5
2019-03-11 10:06:00,1
2019-03-11 10:08:00,3
2019-03-11 10:09:00,5
2019-03-11 10:10:00,1
2019-03-11 10:12:00,2
2019-03-11 10:13:00,4
2019-03-11 10:14:00,1
2019-03-11 10:15:00,2
2019-03-11 10:16:00,4
2019-03-11 10:17:00,1
2019-03-11 10:18:00,2
2019-03-11 10:19:00,3
2019-03-11 10:20:00,3
2019-03-11 10:23:00,4
2019-03-11 10:24:00,2
2019-03-11 10:25:00,1
2019-03-11 10:26:00,1
2019-03-11 10:27:00,1
2019-03-11 10:28:00,2
2019-03-11 10:29:00,4
2019-03-11 10:30:00,2
2019-03-11 10:31:00,5
2019-03-11 10:32:00,2
2019-03-11 10:33:00,3
2019-03-11 10:34:00,8
2019-03-11 10:35:00,16
2019-03-11 10:36:00,17
2019-03-11 10:37:00,18
2019-03-11 10:38:00,16
2019-03-11 10:39:00,19
2019-03-11 10:40:00,17
2019-03-11 10:41:00,22
2019-03-11 10:42:00,18
2019-03-11 10:43:00,20
2019-03-11 10:44:00,18
2019-03-11 10:45:00,19
2019-03-11 10:46:00,19
2019-03-11 10:47:00,18
2019-03-11 10:48:00,19
2019-03-11 10:49:00,20
2019-03-11 10:50:00,19
2019-03-11 10:51:00,22
2019-03-11 10:52:00,23
2019-03-11 10:53:00,26
2019-03-11 10:54:00,24
2019-03-11 10:55:00,26
2019-03-11 10:56:00,14
2019-03-11 11:41:00,9
2019-03-11 11:42:00,16
2019-03-11 11:43:00,2
2019-03-11 11:44:00,3
2019-03-11 11:45:00,1
2019-03-11 11:46:00,3
2019-03-11 11:55:00,3
2019-03-11 11:56:00,2
2019-03-11 11:57:00,4
2019-03-11 12:06:00,15
2019-03-11 12:07:00,24
2019-03-11 12:08:00,17
2019-03-11 12:09:00,20
2019-03-11 12:10:00,18
2019-03-11 12:11:00,13
2019-03-11 12:12:00,24
2019-03-11 12:13:00,24
2019-03-11 12:14:00,15
2019-03-11 12:15:00,19
2019-03-11 12:16:00,19
2019-03-11 12:17:00,17
2019-03-11 12:18:00,14
2019-03-11 12:19:00,13
2019-03-11 12:20:00,14
2019-03-11 12:21:00,11
2019-03-11 12:22:00,9
2019-03-11 12:23:00,12
2019-03-11 12:24:00,10
2019-03-11 12:25:00,13
2019-03-11 12:26:00,12
2019-03-11 12:27:00,11
2019-03-11 12:28:00,10
2019-03-11 12:29:00,12
2019-03-11 12:30:00,15
2019-03-11 12:31:00,14
2019-03-11 12:32:00,13
2019-03-11 12:33:00,14
2019-03-11 12:34:00,19
2019-03-11 12:35:00,20
2019-03-11 12:36:00,17
2019-03-11 12:37:00,18
2019-03-11 12:38:00,1
2019-03-11 13:14:00,2
2019-03-11 13:15:00,18
2019-03-11 13:16:00,20
2019-03-11 13:17:00,19
2019-03-11 13:18:00,17
2019-03-11 13:19:00,17
2019-03-11 13:20:00,18
2019-03-11 13:21:00,17
2019-03-11 13:22:00,17
2019-03-11 13:23:00,18
2019-03-11 13:24:00,19
2019-03-11 13:25:00,19
2019-03-11 13:26:00,21
2019-03-11 13:27:00,21
2019-03-11 13:28:00,19
2019-03-11 13:29:00,20
2019-03-11 13:30:00,18
2019-03-11 13:31:00,23
2019-03-11 13:32:00,20
2019-03-11 13:33:00,21
2019-03-11 13:34:00,18
2019-03-11 13:35:00,20
2019-03-11 13:36:00,18
2019-03-11 13:37:00,12
2019-03-11 14:58:00,14
2019-03-11 14:59:00,17
2019-03-11 15:00:00,17
2019-03-11 15:01:00,8
2019-03-11 15:02:00,8
2019-03-11 15:03:00,12
2019-03-11 15:04:00,15
2019-03-11 15:05:00,14
2019-03-11 15:06:00,15
2019-03-11 15:07:00,15
2019-03-11 15:08:00,15
2019-03-11 15:09:00,11
2019-03-11 15:10:00,10
2019-03-11 15:11:00,15
2019-03-11 15:12:00,14
2019-03-11 15:13:00,9
2019-03-11 15:14:00,9
2019-03-11 15:15:00,18
2019-03-11 15:16:00,18
2019-03-11 15:17:00,13
2019-03-11 15:18:00,12
2019-03-11 15:19:00,17
2019-03-11 15:20:00,11
2019-03-11 15:21:00,19
2019-03-11 15:22:00,17
2019-03-11 15:23:00,13
2019-03-11 15:24:00,15
2019-03-11 15:25:00,18
2019-03-11 15:26:00,19
2019-03-11 15:27:00,16
2019-03-11 15:28:00,16
2019-03-11 15:29:00,21
2019-03-11 15:30:00,18
2019-03-11 15:31:00,23
2019-03-11 15:32:00,21
2019-03-11 15:33:00,33
2019-03-11 15:34:00,49
2019-03-11 15:35:00,36
2019-03-11 15:36:00,17
2019-03-11 15:37:00,15
2019-03-11 15:38:00,19
2019-03-11 15:39:00,23
2019-03-11 15:40:00,21
2019-03-11 15:41:00,17
2019-03-11 15:42:00,16
2019-03-11 15:43:00,15
2019-03-11 15:44:00,19
2019-03-11 15:45:00,14
2019-03-11 15:46:00,21
2019-03-11 15:47:00,11
2019-03-11 15:48:00,20
2019-03-11 15:49:00,19
2019-03-11 15:50:00,22
2019-03-11 15:51:00,19
2019-03-11 15:52:00,18
2019-03-11 15:53:00,17
2019-03-11 15:54:00,16
2019-03-11 15:55:00,17
2019-03-11 15:56:00,16
2019-03-11 15:57:00,16
2019-03-11 15:58:00,17
2019-03-11 15:59:00,15
2019-03-11 16:00:00,1
