49,"select count(*) as count from galaxy p, dbo.fgetNearByObjEq(#,#,#) n where p.objid=n.objid"
2019-03-11 00:59:00,1
2019-03-11 01:00:00,1
2019-03-11 01:01:00,1
2019-03-11 01:08:00,1
2019-03-11 04:07:00,1
2019-03-11 04:11:00,1
2019-03-11 04:13:00,1
2019-03-11 04:21:00,1
2019-03-11 04:22:00,2
2019-03-11 04:23:00,1
2019-03-11 04:30:00,1
2019-03-11 04:31:00,1
2019-03-11 04:32:00,1
2019-03-11 04:34:00,1
2019-03-11 04:37:00,1
2019-03-11 04:38:00,1
2019-03-11 04:40:00,1
2019-03-11 04:41:00,1
2019-03-11 04:42:00,1
2019-03-11 04:43:00,1
2019-03-11 04:44:00,1
2019-03-11 04:46:00,1
2019-03-11 04:52:00,1
2019-03-11 04:54:00,2
2019-03-11 04:58:00,1
2019-03-11 17:04:00,1
2019-03-11 17:06:00,1
2019-03-11 17:07:00,2
2019-03-11 17:08:00,1
2019-03-11 17:29:00,2
2019-03-11 17:30:00,2
2019-03-11 17:31:00,2
2019-03-11 17:32:00,1
2019-03-11 21:02:00,1
2019-03-11 21:03:00,1
2019-03-11 21:04:00,2
2019-03-11 21:06:00,2
2019-03-11 21:07:00,1
2019-03-11 21:08:00,1
2019-03-11 21:09:00,1
2019-03-11 21:11:00,1
