49,"SELECT dbo.fPhotoTypeN(p.type) AS Type, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, p.obj, p.specObjID, p.objID, p.l, p.b, p.type, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.flags, p.mjd AS ImageMJD, p.mode, p.parentID, p.nChild, p.extinction_r, p.petroRad_r, p.petroRadErr_r, Photoz.z AS Photoz, Photoz.zerr AS Photoz_err, zooSpec.spiral AS Zoo1Morphology_spiral, zooSpec.elliptical AS Zoo1Morphology_elliptical, zooSpec.uncertain AS Zoo1Morphology_uncertain, s.instrument, s.class, s.z, s.zErr, s.survey, s.programname, s.sourcetype, s.velDisp, s.velDispErr, s.plate, s.mjd AS specMJD, s.fiberID FROM PhotoObj AS p LEFT JOIN Photoz ON Photoz.objID = p.objID LEFT JOIN zooSpec ON zooSpec.objID = p.objID LEFT JOIN SpecObj AS s ON s.specObjID = p.specObjID WHERE p.objID=#"
2019-03-11 15:19:00,1
2019-03-11 15:20:00,2
2019-03-11 15:23:00,1
2019-03-11 15:27:00,1
2019-03-11 15:32:00,1
2019-03-11 15:33:00,1
2019-03-11 15:34:00,3
2019-03-11 15:35:00,2
2019-03-11 15:36:00,1
2019-03-11 15:37:00,3
2019-03-11 15:40:00,1
2019-03-11 15:41:00,3
2019-03-11 15:44:00,2
2019-03-11 15:45:00,2
2019-03-11 15:46:00,2
2019-03-11 15:47:00,2
2019-03-11 15:48:00,2
2019-03-11 15:50:00,1
2019-03-11 15:52:00,2
2019-03-11 15:53:00,1
2019-03-11 15:55:00,1
2019-03-11 16:01:00,1
2019-03-11 16:12:00,1
2019-03-11 16:13:00,1
2019-03-11 16:16:00,1
2019-03-11 16:19:00,1
2019-03-11 16:22:00,1
2019-03-11 16:23:00,1
2019-03-11 16:26:00,1
2019-03-11 16:27:00,1
2019-03-11 16:29:00,1
2019-03-11 16:33:00,1
2019-03-11 16:35:00,1
2019-03-11 16:36:00,1
2019-03-11 16:41:00,1
