1791,"select   z, ra, dec, bestObjID   from   specObj   where   class = &&&   and zWarning = #   and ra<#  and ra>#  and dec<#  and dec>#  and z >#  and z <#"
2019-03-11 00:02:00,1
2019-03-11 00:03:00,1
2019-03-11 00:04:00,4
2019-03-11 00:05:00,1
2019-03-11 00:08:00,1
2019-03-11 00:09:00,1
2019-03-11 00:29:00,2
2019-03-11 00:30:00,1
2019-03-11 09:38:00,47
2019-03-11 09:39:00,90
2019-03-11 09:40:00,90
2019-03-11 09:41:00,39
2019-03-11 09:42:00,60
2019-03-11 09:43:00,89
2019-03-11 09:44:00,87
2019-03-11 09:45:00,29
2019-03-11 09:48:00,106
2019-03-11 09:49:00,92
2019-03-11 09:50:00,90
2019-03-11 09:51:00,105
2019-03-11 09:52:00,108
2019-03-11 09:53:00,7
2019-03-11 12:16:00,52
2019-03-11 12:17:00,91
2019-03-11 12:18:00,77
2019-03-11 12:19:00,82
2019-03-11 12:20:00,88
2019-03-11 12:21:00,87
2019-03-11 12:24:00,68
2019-03-11 12:25:00,74
2019-03-11 12:26:00,65
2019-03-11 12:27:00,56
