158,"SELECT TOP #  p.run, p.rerun, p.camcol, p.field  FROM PhotoObjDR7 AS p  WHERE p.dr7objid=#"
2019-03-11 00:50:00,1
2019-03-11 00:59:00,1
2019-03-11 02:18:00,1
2019-03-11 02:27:00,1
2019-03-11 02:39:00,1
2019-03-11 02:45:00,1
2019-03-11 02:46:00,1
2019-03-11 02:47:00,1
2019-03-11 03:14:00,1
2019-03-11 03:24:00,1
2019-03-11 03:26:00,1
2019-03-11 03:33:00,1
2019-03-11 03:43:00,1
2019-03-11 03:52:00,1
2019-03-11 04:02:00,1
2019-03-11 04:11:00,1
2019-03-11 04:22:00,1
2019-03-11 04:30:00,1
2019-03-11 04:36:00,1
2019-03-11 04:40:00,1
2019-03-11 04:49:00,1
2019-03-11 04:59:00,1
2019-03-11 05:08:00,1
2019-03-11 05:17:00,1
2019-03-11 05:27:00,1
2019-03-11 05:37:00,1
2019-03-11 05:46:00,1
2019-03-11 05:57:00,1
2019-03-11 06:05:00,1
2019-03-11 06:14:00,1
2019-03-11 06:26:00,1
2019-03-11 06:33:00,1
2019-03-11 06:43:00,1
2019-03-11 06:52:00,1
2019-03-11 07:04:00,1
2019-03-11 07:30:00,1
2019-03-11 07:39:00,1
2019-03-11 07:49:00,1
2019-03-11 07:57:00,1
2019-03-11 07:59:00,1
2019-03-11 08:08:00,1
2019-03-11 08:13:00,1
2019-03-11 08:17:00,1
2019-03-11 08:27:00,1
2019-03-11 08:31:00,1
2019-03-11 08:32:00,1
2019-03-11 08:36:00,1
2019-03-11 08:38:00,1
2019-03-11 08:46:00,1
2019-03-11 08:55:00,1
2019-03-11 09:20:00,1
2019-03-11 09:24:00,1
2019-03-11 09:55:00,1
2019-03-11 11:18:00,1
2019-03-11 11:44:00,1
2019-03-11 12:13:00,1
2019-03-11 12:15:00,1
2019-03-11 12:17:00,1
2019-03-11 12:26:00,1
2019-03-11 12:30:00,1
2019-03-11 12:43:00,1
2019-03-11 12:46:00,1
2019-03-11 12:52:00,1
2019-03-11 13:01:00,1
2019-03-11 13:11:00,1
2019-03-11 13:20:00,1
2019-03-11 13:30:00,1
2019-03-11 13:47:00,1
2019-03-11 13:52:00,1
2019-03-11 13:58:00,1
2019-03-11 14:08:00,1
2019-03-11 14:17:00,1
2019-03-11 14:18:00,1
2019-03-11 14:27:00,1
2019-03-11 14:34:00,1
2019-03-11 14:36:00,1
2019-03-11 14:39:00,1
2019-03-11 14:45:00,1
2019-03-11 15:05:00,1
2019-03-11 15:14:00,1
2019-03-11 15:21:00,1
2019-03-11 15:24:00,1
2019-03-11 15:33:00,1
2019-03-11 15:42:00,1
2019-03-11 15:52:00,1
2019-03-11 16:01:00,1
2019-03-11 16:23:00,1
2019-03-11 16:39:00,1
2019-03-11 17:07:00,1
2019-03-11 17:17:00,1
2019-03-11 17:36:00,1
2019-03-11 17:45:00,1
2019-03-11 17:55:00,1
2019-03-11 18:04:00,1
2019-03-11 18:14:00,1
2019-03-11 18:23:00,1
2019-03-11 18:28:00,1
2019-03-11 18:30:00,1
2019-03-11 18:32:00,1
2019-03-11 18:33:00,2
2019-03-11 18:34:00,1
2019-03-11 18:39:00,1
2019-03-11 18:40:00,1
2019-03-11 18:42:00,1
2019-03-11 18:47:00,1
2019-03-11 18:56:00,1
2019-03-11 19:15:00,1
2019-03-11 19:25:00,1
2019-03-11 19:34:00,1
2019-03-11 19:43:00,1
2019-03-11 19:55:00,1
2019-03-11 20:16:00,1
2019-03-11 20:25:00,1
2019-03-11 20:31:00,1
2019-03-11 20:32:00,1
2019-03-11 20:33:00,1
2019-03-11 20:36:00,1
2019-03-11 21:14:00,1
2019-03-11 21:16:00,1
2019-03-11 21:17:00,1
2019-03-11 21:22:00,1
2019-03-11 21:24:00,1
2019-03-11 21:29:00,1
2019-03-11 21:31:00,1
2019-03-11 21:33:00,1
2019-03-11 21:35:00,1
2019-03-11 21:37:00,1
2019-03-11 21:39:00,1
2019-03-11 21:40:00,1
2019-03-11 21:44:00,1
2019-03-11 21:45:00,2
2019-03-11 21:46:00,2
2019-03-11 21:48:00,1
2019-03-11 21:50:00,2
2019-03-11 21:51:00,2
2019-03-11 21:52:00,2
2019-03-11 21:53:00,2
2019-03-11 21:54:00,3
2019-03-11 22:10:00,1
2019-03-11 22:24:00,1
2019-03-11 22:34:00,1
2019-03-11 22:44:00,1
2019-03-11 22:53:00,1
2019-03-11 23:02:00,1
2019-03-11 23:12:00,1
2019-03-11 23:21:00,1
2019-03-11 23:31:00,1
2019-03-11 23:50:00,1
2019-03-11 23:59:00,1
