9569,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between # and #
2019-03-11 02:30:00,282
2019-03-11 02:31:00,805
2019-03-11 02:32:00,1159
2019-03-11 02:33:00,193
2019-03-11 02:34:00,5
2019-03-11 03:18:00,30
2019-03-11 03:19:00,8
2019-03-11 03:20:00,581
2019-03-11 03:21:00,1014
2019-03-11 03:40:00,15
2019-03-11 03:41:00,29
2019-03-11 03:42:00,908
2019-03-11 03:43:00,2
2019-03-11 03:55:00,10
2019-03-11 03:56:00,101
2019-03-11 03:57:00,9
2019-03-11 04:01:00,30
2019-03-11 04:02:00,51
2019-03-11 04:03:00,726
2019-03-11 04:04:00,3
2019-03-11 04:06:00,2
2019-03-11 04:09:00,1
2019-03-11 04:11:00,1059
2019-03-11 04:12:00,617
2019-03-11 05:22:00,2
2019-03-11 08:26:00,6
2019-03-11 12:24:00,9
2019-03-11 13:15:00,6
2019-03-11 13:42:00,1
2019-03-11 14:07:00,3
2019-03-11 14:42:00,2
2019-03-11 15:12:00,36
2019-03-11 15:42:00,3
2019-03-11 16:29:00,2
2019-03-11 19:21:00,3
2019-03-11 19:47:00,1
2019-03-11 21:07:00,6
2019-03-11 21:41:00,1163
2019-03-11 21:42:00,681
2019-03-11 22:32:00,3
2019-03-11 23:29:00,2
