1460,"select logMass, logMass_err   from stellarMassFSPSGranEarlyDust   where ra<#  and ra>#  and dec<#  and dec>#  and z >#  and z <#"
2019-03-11 00:48:00,10
2019-03-11 00:49:00,96
2019-03-11 00:54:00,44
2019-03-11 00:56:00,27
2019-03-11 00:59:00,97
2019-03-11 01:01:00,83
2019-03-11 01:02:00,64
2019-03-11 09:08:00,51
2019-03-11 09:09:00,146
2019-03-11 09:10:00,1
2019-03-11 09:21:00,23
2019-03-11 09:22:00,158
2019-03-11 09:23:00,155
2019-03-11 09:24:00,32
2019-03-11 11:55:00,83
2019-03-11 11:56:00,136
2019-03-11 11:57:00,85
2019-03-11 11:58:00,14
2019-03-11 11:59:00,2
2019-03-11 12:00:00,70
2019-03-11 12:01:00,45
2019-03-11 12:04:00,19
2019-03-11 14:40:00,19
