54,select objid from photoprimary where photoprimary.dec between # and .# and photoprimary.ra between .# and #
2019-03-11 16:12:00,1
2019-03-11 16:56:00,4
2019-03-11 17:22:00,1
2019-03-11 17:30:00,1
2019-03-11 17:37:00,1
2019-03-11 17:40:00,1
2019-03-11 17:47:00,1
2019-03-11 17:58:00,1
2019-03-11 18:09:00,1
2019-03-11 18:10:00,1
2019-03-11 18:23:00,1
2019-03-11 18:37:00,1
2019-03-11 18:38:00,1
2019-03-11 18:46:00,1
2019-03-11 18:53:00,1
2019-03-11 19:05:00,1
2019-03-11 19:08:00,1
2019-03-11 19:10:00,1
2019-03-11 19:29:00,1
2019-03-11 19:38:00,1
2019-03-11 19:52:00,1
2019-03-11 20:13:00,1
2019-03-11 20:17:00,1
2019-03-11 20:42:00,1
2019-03-11 20:45:00,1
2019-03-11 21:42:00,6
2019-03-11 22:02:00,1
2019-03-11 22:04:00,1
2019-03-11 22:14:00,1
2019-03-11 22:15:00,1
2019-03-11 22:28:00,1
2019-03-11 22:32:00,1
2019-03-11 22:33:00,1
2019-03-11 22:48:00,2
2019-03-11 22:53:00,1
2019-03-11 23:03:00,1
2019-03-11 23:04:00,1
2019-03-11 23:10:00,1
2019-03-11 23:15:00,1
2019-03-11 23:27:00,1
2019-03-11 23:29:00,1
2019-03-11 23:44:00,1
2019-03-11 23:45:00,1
2019-03-11 23:46:00,1
2019-03-11 23:54:00,1
