441,"SELECT TOP # s.plate,s.mjd,s.fiberid,s.elodieSpType FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid=p.objid WHERE s.class=&&& AND s.elodieSpType!=&&&"
2019-03-11 19:04:00,1
2019-03-11 19:07:00,7
2019-03-11 19:08:00,8
2019-03-11 19:09:00,8
2019-03-11 19:10:00,8
2019-03-11 19:11:00,8
2019-03-11 19:12:00,8
2019-03-11 19:13:00,6
2019-03-11 19:14:00,6
2019-03-11 19:15:00,4
2019-03-11 19:16:00,6
2019-03-11 19:17:00,3
2019-03-11 19:18:00,1
2019-03-11 19:19:00,14
2019-03-11 19:20:00,4
2019-03-11 19:21:00,8
2019-03-11 19:22:00,8
2019-03-11 19:23:00,7
2019-03-11 19:24:00,5
2019-03-11 19:25:00,8
2019-03-11 19:26:00,8
2019-03-11 19:27:00,8
2019-03-11 19:28:00,8
2019-03-11 19:29:00,8
2019-03-11 19:30:00,7
2019-03-11 19:31:00,7
2019-03-11 19:32:00,8
2019-03-11 19:33:00,7
2019-03-11 19:34:00,7
2019-03-11 19:35:00,7
2019-03-11 19:36:00,7
2019-03-11 19:37:00,8
2019-03-11 19:38:00,8
2019-03-11 19:39:00,2
2019-03-11 19:42:00,1
2019-03-11 19:43:00,1
2019-03-11 19:44:00,1
2019-03-11 19:45:00,10
2019-03-11 19:46:00,6
2019-03-11 19:47:00,2
2019-03-11 19:48:00,1
2019-03-11 19:49:00,14
2019-03-11 19:50:00,8
2019-03-11 19:51:00,6
2019-03-11 19:52:00,9
2019-03-11 19:53:00,1
2019-03-11 19:56:00,11
2019-03-11 19:57:00,8
2019-03-11 19:58:00,8
2019-03-11 19:59:00,1
2019-03-11 20:05:00,1
2019-03-11 20:06:00,10
2019-03-11 20:07:00,8
2019-03-11 20:08:00,8
2019-03-11 20:09:00,7
2019-03-11 20:10:00,5
2019-03-11 20:15:00,9
2019-03-11 20:16:00,8
2019-03-11 20:17:00,5
2019-03-11 20:18:00,7
2019-03-11 20:19:00,8
2019-03-11 20:20:00,10
2019-03-11 20:21:00,3
2019-03-11 20:52:00,1
2019-03-11 20:53:00,14
2019-03-11 20:54:00,8
2019-03-11 20:55:00,8
2019-03-11 21:01:00,1
2019-03-11 21:03:00,1
2019-03-11 21:05:00,1
2019-03-11 21:37:00,1
2019-03-11 21:47:00,1
