8587,"SELECT ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,Err_u,Err_g,Err_r,Err_i,Err_z,flags_r,run   FROM Galaxy   WHERE   ra BETWEEN # and # AND dec BETWEEN # and #"
2019-03-11 10:10:00,69
2019-03-11 10:11:00,42
2019-03-11 10:12:00,49
2019-03-11 10:13:00,55
2019-03-11 10:14:00,56
2019-03-11 10:15:00,46
2019-03-11 10:16:00,38
2019-03-11 10:17:00,43
2019-03-11 10:18:00,42
2019-03-11 10:19:00,48
2019-03-11 10:20:00,51
2019-03-11 10:21:00,41
2019-03-11 10:22:00,52
2019-03-11 10:23:00,44
2019-03-11 10:24:00,43
2019-03-11 10:25:00,42
2019-03-11 10:26:00,51
2019-03-11 10:27:00,42
2019-03-11 10:28:00,44
2019-03-11 10:29:00,47
2019-03-11 10:30:00,49
2019-03-11 10:31:00,43
2019-03-11 10:32:00,43
2019-03-11 10:33:00,48
2019-03-11 10:34:00,46
2019-03-11 10:35:00,52
2019-03-11 10:36:00,40
2019-03-11 10:37:00,56
2019-03-11 10:38:00,54
2019-03-11 10:39:00,53
2019-03-11 10:40:00,60
2019-03-11 10:41:00,52
2019-03-11 10:42:00,73
2019-03-11 10:43:00,72
2019-03-11 10:44:00,73
2019-03-11 10:45:00,78
2019-03-11 10:46:00,77
2019-03-11 10:47:00,104
2019-03-11 10:48:00,109
2019-03-11 10:49:00,120
2019-03-11 10:50:00,129
2019-03-11 10:51:00,134
2019-03-11 10:52:00,97
2019-03-11 10:53:00,103
2019-03-11 10:54:00,94
2019-03-11 10:55:00,146
2019-03-11 10:56:00,109
2019-03-11 10:57:00,86
2019-03-11 10:58:00,81
2019-03-11 10:59:00,68
2019-03-11 11:00:00,46
2019-03-11 11:01:00,42
2019-03-11 11:02:00,39
2019-03-11 11:03:00,35
2019-03-11 11:04:00,54
2019-03-11 11:05:00,51
2019-03-11 11:06:00,32
2019-03-11 11:07:00,33
2019-03-11 11:08:00,36
2019-03-11 11:09:00,39
2019-03-11 11:10:00,30
2019-03-11 11:11:00,35
2019-03-11 11:12:00,31
2019-03-11 11:13:00,32
2019-03-11 11:14:00,37
2019-03-11 11:15:00,36
2019-03-11 11:16:00,35
2019-03-11 11:17:00,33
2019-03-11 11:18:00,30
2019-03-11 11:19:00,32
2019-03-11 11:20:00,29
2019-03-11 11:21:00,34
2019-03-11 11:22:00,34
2019-03-11 11:23:00,31
2019-03-11 11:24:00,31
2019-03-11 11:25:00,31
2019-03-11 11:26:00,33
2019-03-11 11:27:00,31
2019-03-11 11:28:00,31
2019-03-11 11:29:00,31
2019-03-11 11:30:00,41
2019-03-11 11:31:00,29
2019-03-11 11:32:00,34
2019-03-11 11:33:00,39
2019-03-11 11:34:00,29
2019-03-11 11:35:00,34
2019-03-11 11:36:00,36
2019-03-11 11:37:00,36
2019-03-11 11:38:00,34
2019-03-11 11:39:00,32
2019-03-11 11:40:00,33
2019-03-11 11:41:00,31
2019-03-11 11:42:00,35
2019-03-11 11:43:00,30
2019-03-11 11:44:00,29
2019-03-11 11:45:00,36
2019-03-11 11:46:00,31
2019-03-11 11:47:00,29
2019-03-11 11:48:00,33
2019-03-11 11:49:00,28
2019-03-11 11:50:00,30
2019-03-11 11:51:00,33
2019-03-11 11:52:00,34
2019-03-11 11:53:00,34
2019-03-11 11:54:00,36
2019-03-11 11:55:00,30
2019-03-11 11:56:00,32
2019-03-11 11:57:00,33
2019-03-11 11:58:00,36
2019-03-11 11:59:00,32
2019-03-11 12:00:00,28
2019-03-11 12:01:00,34
2019-03-11 12:02:00,31
2019-03-11 12:03:00,30
2019-03-11 12:04:00,34
2019-03-11 12:05:00,32
2019-03-11 12:06:00,35
2019-03-11 12:07:00,39
2019-03-11 12:08:00,49
2019-03-11 12:09:00,41
2019-03-11 12:10:00,41
2019-03-11 12:11:00,49
2019-03-11 12:12:00,59
2019-03-11 12:13:00,73
2019-03-11 12:14:00,77
2019-03-11 12:15:00,108
2019-03-11 12:16:00,124
2019-03-11 12:17:00,107
2019-03-11 12:18:00,99
2019-03-11 12:19:00,118
2019-03-11 12:20:00,114
2019-03-11 12:21:00,94
2019-03-11 12:22:00,69
2019-03-11 12:23:00,62
2019-03-11 12:24:00,51
2019-03-11 12:25:00,58
2019-03-11 12:26:00,60
2019-03-11 12:27:00,53
2019-03-11 12:28:00,57
2019-03-11 12:29:00,53
2019-03-11 12:30:00,48
2019-03-11 12:31:00,63
2019-03-11 12:32:00,63
2019-03-11 12:33:00,58
2019-03-11 12:34:00,58
2019-03-11 12:35:00,58
2019-03-11 12:36:00,58
2019-03-11 12:37:00,47
2019-03-11 12:38:00,56
2019-03-11 12:39:00,39
2019-03-11 12:40:00,49
2019-03-11 12:41:00,53
2019-03-11 12:42:00,45
2019-03-11 12:43:00,48
2019-03-11 12:44:00,55
2019-03-11 12:45:00,43
2019-03-11 12:46:00,40
2019-03-11 12:47:00,33
2019-03-11 12:48:00,35
2019-03-11 12:49:00,32
2019-03-11 12:50:00,30
2019-03-11 12:51:00,38
2019-03-11 12:52:00,30
2019-03-11 12:53:00,29
2019-03-11 12:54:00,31
2019-03-11 12:55:00,24
2019-03-11 12:56:00,23
2019-03-11 12:57:00,22
2019-03-11 12:58:00,23
2019-03-11 12:59:00,21
2019-03-11 13:00:00,16
2019-03-11 13:01:00,14
2019-03-11 13:02:00,10
2019-03-11 13:03:00,7
2019-03-11 13:04:00,5
2019-03-11 13:05:00,4
2019-03-11 13:06:00,2
2019-03-11 13:07:00,3
2019-03-11 13:08:00,1
2019-03-11 13:09:00,3
2019-03-11 13:10:00,3
2019-03-11 13:11:00,6
2019-03-11 13:12:00,5
2019-03-11 13:13:00,2
2019-03-11 13:14:00,2
2019-03-11 13:15:00,4
2019-03-11 13:16:00,2
2019-03-11 13:17:00,1
2019-03-11 13:18:00,2
2019-03-11 13:19:00,1
2019-03-11 13:20:00,2
2019-03-11 13:21:00,1
2019-03-11 13:22:00,2
2019-03-11 13:23:00,2
2019-03-11 13:24:00,1
2019-03-11 13:25:00,2
2019-03-11 13:26:00,1
2019-03-11 13:27:00,2
2019-03-11 13:28:00,2
2019-03-11 13:29:00,1
2019-03-11 13:30:00,3
2019-03-11 13:31:00,1
2019-03-11 13:32:00,2
2019-03-11 13:33:00,2
2019-03-11 13:34:00,2
