1265,"select s.z, p.petroRad_z   from photoObj p   JOIN specObj s ON s.bestObjID = p.objID   where s.bestObjID = #"
2019-03-11 09:38:00,13
2019-03-11 09:39:00,76
2019-03-11 09:40:00,81
2019-03-11 09:41:00,39
2019-03-11 09:42:00,21
2019-03-11 09:43:00,80
2019-03-11 09:44:00,80
2019-03-11 09:45:00,28
2019-03-11 09:48:00,39
2019-03-11 09:49:00,74
2019-03-11 09:50:00,80
2019-03-11 09:51:00,66
2019-03-11 09:52:00,63
2019-03-11 09:53:00,6
2019-03-11 12:16:00,18
2019-03-11 12:17:00,48
2019-03-11 12:18:00,69
2019-03-11 12:19:00,70
2019-03-11 12:20:00,53
2019-03-11 12:21:00,54
2019-03-11 12:24:00,30
2019-03-11 12:25:00,63
2019-03-11 12:26:00,59
2019-03-11 12:27:00,55
