12,"SELECT  top #   p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g, p.r, p.i, p.z,    p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z    FROM fGetObjFromRect(#,#,#,#) n,   PhotoPrimary p    WHERE n.objID=p.objID"
2019-09-06 00:43:00,1
2019-09-06 04:47:00,1
2019-09-06 05:13:00,1
2019-09-06 13:13:00,1
2019-09-06 13:29:00,1
2019-09-06 14:18:00,1
2019-09-06 14:48:00,1
2019-09-06 15:24:00,1
2019-09-06 19:53:00,1
2019-09-06 20:47:00,1
2019-09-06 20:59:00,1
2019-09-06 23:58:00,1
