96,"select name,ucd from dbcolumns where tablename = &&& and ( name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&&)"
2019-09-06 00:45:00,1
2019-09-06 01:46:00,1
2019-09-06 02:45:00,1
2019-09-06 02:55:00,9
2019-09-06 03:45:00,1
2019-09-06 04:45:00,2
2019-09-06 05:46:00,1
2019-09-06 06:38:00,1
2019-09-06 06:45:00,1
2019-09-06 07:39:00,9
2019-09-06 07:45:00,1
2019-09-06 08:46:00,1
2019-09-06 09:07:00,9
2019-09-06 09:44:00,1
2019-09-06 10:24:00,9
2019-09-06 10:25:00,9
2019-09-06 10:34:00,9
2019-09-06 10:44:00,1
2019-09-06 11:44:00,1
2019-09-06 12:13:00,1
2019-09-06 12:17:00,1
2019-09-06 12:45:00,1
2019-09-06 13:45:00,1
2019-09-06 14:42:00,9
2019-09-06 14:45:00,1
2019-09-06 15:45:00,1
2019-09-06 16:13:00,9
2019-09-06 16:45:00,1
2019-09-06 17:45:00,1
2019-09-06 18:44:00,1
2019-09-06 19:44:00,1
