6,"SELECT p.objid, p.ra, p.dec, p.g, p.deVRad_g, p.deVPhi_g, p.deVAB_g, p.type, p.flags_g, (flags & dbo.fPhotoFlags(&&&)) as SAT FROM PhotoPrimary AS p WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.g BETWEEN # AND #"
2019-09-06 16:21:00,4
2019-09-06 16:22:00,2
