7308,"SELECT aa_r,kk_r,airmass_r,gain_r,sky_r,skysig_r FROM Field where run=# AND rerun=# AND camcol=# AND field=#"
2019-09-06 09:19:00,5
2019-09-06 09:20:00,8
2019-09-06 09:21:00,7
2019-09-06 09:22:00,7
2019-09-06 09:23:00,8
2019-09-06 09:24:00,8
2019-09-06 09:25:00,8
2019-09-06 09:26:00,8
2019-09-06 09:27:00,8
2019-09-06 09:28:00,6
2019-09-06 09:29:00,6
2019-09-06 09:30:00,6
2019-09-06 09:31:00,6
2019-09-06 09:32:00,6
2019-09-06 09:33:00,6
2019-09-06 09:34:00,8
2019-09-06 09:35:00,7
2019-09-06 09:36:00,8
2019-09-06 09:37:00,8
2019-09-06 09:38:00,7
2019-09-06 09:39:00,8
2019-09-06 09:40:00,8
2019-09-06 09:41:00,9
2019-09-06 09:42:00,7
2019-09-06 09:43:00,7
2019-09-06 09:44:00,9
2019-09-06 09:45:00,9
2019-09-06 09:46:00,8
2019-09-06 09:47:00,8
2019-09-06 09:48:00,8
2019-09-06 09:49:00,8
2019-09-06 09:50:00,8
2019-09-06 09:51:00,8
2019-09-06 09:52:00,8
2019-09-06 09:53:00,7
2019-09-06 09:54:00,9
2019-09-06 09:55:00,6
2019-09-06 09:56:00,7
2019-09-06 09:57:00,7
2019-09-06 09:58:00,6
2019-09-06 09:59:00,7
2019-09-06 10:00:00,6
2019-09-06 10:01:00,6
2019-09-06 10:02:00,7
2019-09-06 10:03:00,7
2019-09-06 10:04:00,9
2019-09-06 10:05:00,9
2019-09-06 10:06:00,9
2019-09-06 10:07:00,8
2019-09-06 10:08:00,9
2019-09-06 10:09:00,9
2019-09-06 10:10:00,9
2019-09-06 10:11:00,9
2019-09-06 10:12:00,9
2019-09-06 10:13:00,9
2019-09-06 10:14:00,9
2019-09-06 10:15:00,9
2019-09-06 10:16:00,9
2019-09-06 10:17:00,9
2019-09-06 10:18:00,9
2019-09-06 10:19:00,9
2019-09-06 10:20:00,8
2019-09-06 10:21:00,6
2019-09-06 10:22:00,7
2019-09-06 10:23:00,6
2019-09-06 10:24:00,9
2019-09-06 10:25:00,8
2019-09-06 10:26:00,9
2019-09-06 10:27:00,7
2019-09-06 10:28:00,8
2019-09-06 10:29:00,7
2019-09-06 10:30:00,8
2019-09-06 10:31:00,7
2019-09-06 10:32:00,7
2019-09-06 10:33:00,8
2019-09-06 10:34:00,9
2019-09-06 10:35:00,8
2019-09-06 10:36:00,9
2019-09-06 10:37:00,8
2019-09-06 10:38:00,6
2019-09-06 10:39:00,7
2019-09-06 10:40:00,6
2019-09-06 10:41:00,7
2019-09-06 10:42:00,6
2019-09-06 10:43:00,7
2019-09-06 10:44:00,9
2019-09-06 10:45:00,7
2019-09-06 10:46:00,9
2019-09-06 10:47:00,8
2019-09-06 10:48:00,6
2019-09-06 10:49:00,8
2019-09-06 10:50:00,7
2019-09-06 10:51:00,7
2019-09-06 10:52:00,8
2019-09-06 10:53:00,7
2019-09-06 10:54:00,8
2019-09-06 10:55:00,7
2019-09-06 10:56:00,8
2019-09-06 10:57:00,7
2019-09-06 10:58:00,8
2019-09-06 10:59:00,6
2019-09-06 11:00:00,5
2019-09-06 11:01:00,6
2019-09-06 11:02:00,5
2019-09-06 11:03:00,7
2019-09-06 11:04:00,8
2019-09-06 11:05:00,8
2019-09-06 11:06:00,7
2019-09-06 11:07:00,8
2019-09-06 11:08:00,6
2019-09-06 11:09:00,5
2019-09-06 11:10:00,5
2019-09-06 11:11:00,5
2019-09-06 11:12:00,4
2019-09-06 11:13:00,5
2019-09-06 11:14:00,6
2019-09-06 11:15:00,6
2019-09-06 11:16:00,6
2019-09-06 11:17:00,5
2019-09-06 11:18:00,4
2019-09-06 11:19:00,4
2019-09-06 11:20:00,5
2019-09-06 11:21:00,5
2019-09-06 11:22:00,5
2019-09-06 11:23:00,5
2019-09-06 11:24:00,5
2019-09-06 11:25:00,5
2019-09-06 11:26:00,5
2019-09-06 11:27:00,5
2019-09-06 11:28:00,4
2019-09-06 11:29:00,5
2019-09-06 11:30:00,4
2019-09-06 11:31:00,5
2019-09-06 11:32:00,4
2019-09-06 11:33:00,5
2019-09-06 11:34:00,6
2019-09-06 11:35:00,5
2019-09-06 11:36:00,6
2019-09-06 11:37:00,4
2019-09-06 11:38:00,5
2019-09-06 11:39:00,4
2019-09-06 11:40:00,4
