2,"SELECT objid,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,flags_r,   psfMagerr_u,psfMagerr_g,psfMagerr_r,psfMagerr_i,psfMagerr_z    FROM dbo.star WHERE     ra BETWEEN # and # AND dec BETWEEN # and #      AND ((flags_r & #) != #)           AND ((flags_r & #) = #)                AND (((flags_r & #) = #) or (psfmagerr_r <= #))                AND (((flags_r & #) = #) or (flags_r & #) = #)                 AND r between # and #     AND   sqrt(power(((u-g)#),#) + power(((g-r)#),#)  + power(((r-i)#),#)+ power(((i-z)#),#)) <= #"
2019-09-06 07:34:00,1
2019-09-06 07:35:00,1
