2,"SELECT u.up_index as [index],     p.objID, p.ra, p.dec, p.isoA_r FROM #upload u       JOIN #x x ON x.up_id = u.up_id       JOIN Photoobj p ON p.objID = x.objID ORDER by x.up_id"
2019-09-06 13:42:00,1
2019-09-06 13:58:00,1
