11,"SELECT p.objid, p.ra, p.dec,  p.petroMag_g, p.petroMagerr_g, p.extinction_g, p.petroMag_r, p.petroMagerr_r, p.extinction_r, p.probPSF, p.type into mydb.Ncas_SS2b0# FROM dbo.fGetNearbyObjEq( #,#,#) as b, PhotoObj as p WHERE b.objID = p.objID and p.petroMag_r - p.extinction_r <= #"
2019-01-17 15:58:00,2
2019-01-17 15:59:00,4
2019-01-17 16:01:00,1
2019-01-17 16:02:00,1
2019-01-17 16:03:00,3
